sex,age,cause,country,2016,2017,2018,2019,2020,2021,2022,2023,percentage_2016,percentage_2017,percentage_2018,percentage_2019,percentage_2020,percentage_2021,percentage_2022,percentage_2023
Total,Total,COVID-19,Austria,0.0,0.0,0.0,0.0,6523.0,7953.0,6361.0,2737.0,0.0,0.0,0.0,0.0,7.171047568791707,8.744653479499048,6.862956649332154,3.0672509049342733
Females,65 years or over,Drug dependence,Austria,3.0,6.0,4.0,7.0,10.0,13.0,6.0,9.0,0.0037325503272202455,0.007232662704774763,0.004792829926430061,0.008435869316333049,0.010993480865846552,0.014294039385576215,0.006473469563903934,0.010085954747683033
Males,65 years or over,Drug dependence,Austria,9.0,3.0,6.0,7.0,10.0,8.0,10.0,15.0,0.011197650981660735,0.0036163313523873814,0.00718924488964509,0.008435869316333049,0.010993480865846552,0.008796331929585363,0.01078911593983989,0.01680992457947172
Total,65 years or over,Drug dependence,Austria,12.0,9.0,10.0,14.0,20.0,21.0,16.0,24.0,0.014930201308880982,0.010848994057162144,0.011982074816075152,0.016871738632666097,0.021986961731693105,0.023090371315161576,0.017262585503743825,0.026895879327154752
Females,From 15 to 29 years,Drug dependence,Austria,5.0,1.0,3.0,5.0,6.0,3.0,2.0,3.0,0.0062209172120337415,0.0012054437841291271,0.003594622444822545,0.006025620940237892,0.006596088519507931,0.0032986244735945113,0.002157823187967978,0.003361984915894344
Males,From 15 to 29 years,Drug dependence,Austria,15.0,10.0,19.0,17.0,10.0,15.0,10.0,9.0,0.018662751636101226,0.012054437841291272,0.022765942150542787,0.020487111196808832,0.010993480865846552,0.016493122367972558,0.01078911593983989,0.010085954747683033
Total,From 15 to 29 years,Drug dependence,Austria,20.0,11.0,22.0,22.0,16.0,18.0,12.0,12.0,0.024883668848134966,0.013259881625420397,0.026360564595365333,0.026512732137046722,0.017589569385354484,0.019791746841567065,0.012946939127807868,0.013447939663577376
Females,From 30 to 44 years,Drug dependence,Austria,,,0.0,8.0,13.0,9.0,12.0,10.0,,,0.0,0.009640993504380626,0.01429152512560052,0.009895873420783532,0.012946939127807868,0.01120661638631448
Males,From 30 to 44 years,Drug dependence,Austria,,,0.0,31.0,33.0,32.0,39.0,31.0,,,0.0,0.037358849829474926,0.036278486857293624,0.03518532771834145,0.04207755216537557,0.03474051079757489
Total,From 30 to 44 years,Drug dependence,Austria,,,0.0,39.0,46.0,41.0,51.0,41.0,,,0.0,0.046999843333855554,0.050570011982894146,0.045081201139124984,0.05502449129318344,0.045947127183889366
Females,From 45 to 64 years,Drug dependence,Austria,,,0.0,10.0,19.0,20.0,14.0,12.0,,,0.0,0.012051241880475783,0.020887613645108452,0.021990829823963408,0.015104762315775845,0.013447939663577376
Males,From 45 to 64 years,Drug dependence,Austria,,,0.0,36.0,35.0,42.0,44.0,35.0,,,0.0,0.043384470769712816,0.038477183030462936,0.04618074263032315,0.047472110135295516,0.039223157352100683
Total,From 45 to 64 years,Drug dependence,Austria,,,0.0,46.0,54.0,62.0,58.0,47.0,,,0.0,0.0554357126501886,0.05936479667557139,0.06817157245428657,0.06257687245107135,0.052671097015678056
Females,Less than 15 years,Drug dependence,Austria,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010993480865846552,0.0,0.0,0.0
Males,Less than 15 years,Drug dependence,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,Less than 15 years,Drug dependence,Austria,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010993480865846552,0.0,0.0,0.0
Females,Total,Drug dependence,Austria,25.0,30.0,39.0,30.0,49.0,45.0,34.0,34.0,0.03110458606016871,0.036163313523873815,0.04673009178269309,0.036153725641427346,0.05386805624264811,0.04947936710391767,0.03668299419545562,0.038102495713469235
Males,Total,Drug dependence,Austria,80.0,69.0,87.0,91.0,88.0,97.0,103.0,90.0,0.09953467539253986,0.08317562110490977,0.10424405089985381,0.10966630111232961,0.09674263161944967,0.10665552464622252,0.11112789418035088,0.10085954747683032
Total,Total,Drug dependence,Austria,105.0,99.0,126.0,121.0,137.0,142.0,137.0,124.0,0.1306392614527086,0.11933893462878359,0.1509741426825469,0.14582002675375696,0.15061068786209778,0.15613489175014017,0.1478108883758065,0.13896204319029956
Females,65 years or over,Intentional self-harm,Austria,103.0,100.0,108.0,87.0,87.0,85.0,137.0,157.0,0.1281508945678951,0.12054437841291271,0.12940640801361164,0.10484580436013931,0.09564328353286501,0.09346102675184448,0.1478108883758065,0.17594387726513733
Males,65 years or over,Intentional self-harm,Austria,346.0,394.0,386.0,358.0,353.0,395.0,408.0,403.0,0.43048747107273494,0.4749448509468761,0.46250808790050085,0.431434459321033,0.38806987456438335,0.4343188890232773,0.4401959303454675,0.45162664036847355
Total,65 years or over,Intentional self-harm,Austria,449.0,494.0,494.0,445.0,440.0,480.0,545.0,560.0,0.5586383656406301,0.5954892293597888,0.5919144959141125,0.5362802636811724,0.48371315809724835,0.5277799157751218,0.5880068187212739,0.6275705176336109
Females,From 15 to 29 years,Intentional self-harm,Austria,30.0,28.0,17.0,15.0,18.0,18.0,31.0,27.0,0.03732550327220245,0.03375242595561556,0.020369527187327756,0.018076862820713673,0.019788265558523796,0.019791746841567065,0.03344625941350366,0.030257864243049097
Males,From 15 to 29 years,Intentional self-harm,Austria,100.0,110.0,104.0,88.0,68.0,94.0,95.0,94.0,0.12441834424067484,0.132598816254204,0.12461357808718157,0.10605092854818689,0.07475566988775656,0.10335690017262801,0.10249660142847895,0.10534219403135611
Total,From 15 to 29 years,Intentional self-harm,Austria,130.0,138.0,121.0,103.0,86.0,112.0,126.0,121.0,0.1617438475128773,0.16635124220981953,0.14498310527450933,0.12412779136890056,0.09454393544628036,0.12314864701419508,0.1359428608419826,0.1356000582744052
Females,From 30 to 44 years,Intentional self-harm,Austria,,,0.0,42.0,37.0,30.0,35.0,32.0,,,0.0,0.050615215897998285,0.04067587920363224,0.032986244735945115,0.037761905789439616,0.03586117243620634
Males,From 30 to 44 years,Intentional self-harm,Austria,,,0.0,151.0,132.0,126.0,149.0,180.0,,,0.0,0.18197375239518432,0.1451139474291745,0.13854222789096948,0.16075782750361436,0.20171909495366064
Total,From 30 to 44 years,Intentional self-harm,Austria,,,0.0,193.0,169.0,156.0,184.0,212.0,,,0.0,0.2325889682931826,0.18578982663280674,0.1715284726269146,0.19851973329305397,0.23758026738986698
Females,From 45 to 64 years,Intentional self-harm,Austria,,,0.0,109.0,94.0,92.0,110.0,81.0,,,0.0,0.13135853649718604,0.1033387201389576,0.10115781719023167,0.11868027533823877,0.09077359272914728
Males,From 45 to 64 years,Intentional self-harm,Austria,,,0.0,309.0,311.0,288.0,348.0,365.0,,,0.0,0.3723833741067017,0.3418972549278278,0.31666794946507304,0.37546123470642817,0.4090414981004785
Total,From 45 to 64 years,Intentional self-harm,Austria,,,0.0,418.0,405.0,380.0,458.0,446.0,,,0.0,0.5037419106038877,0.44523597506678536,0.41782576665530474,0.49414151004466694,0.49981509082962583
Females,Less than 15 years,Intentional self-harm,Austria,2.0,2.0,1.0,0.0,1.0,1.0,0.0,4.0,0.002488366884813497,0.0024108875682582543,0.0011982074816075153,0.0,0.0010993480865846552,0.0010995414911981703,0.0,0.004482646554525792
Males,Less than 15 years,Intentional self-harm,Austria,1.0,3.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0012441834424067484,0.0036163313523873814,0.0011982074816075153,0.0012051241880475783,0.0021986961731693105,0.0,0.001078911593983989,0.002241323277262896
Total,Less than 15 years,Intentional self-harm,Austria,3.0,5.0,2.0,1.0,3.0,1.0,1.0,6.0,0.0037325503272202455,0.006027218920645636,0.0023964149632150307,0.0012051241880475783,0.0032980442597539657,0.0010995414911981703,0.001078911593983989,0.006723969831788688
Females,Total,Intentional self-harm,Austria,299.0,267.0,266.0,253.0,237.0,226.0,313.0,301.0,0.37201084927961775,0.32185349036247696,0.31872319010759903,0.3048964195760373,0.2605454965205633,0.24849637701078647,0.33769932891698856,0.3373191532280659
Males,Total,Intentional self-harm,Austria,933.0,994.0,962.0,907.0,866.0,903.0,1001.0,1044.0,1.1608231517654963,1.1982111214243525,1.1526755973064295,1.0930476385591537,0.9520354429823115,0.9928859665519478,1.079990505577973,1.1699707507312318
Total,Total,Intentional self-harm,Austria,1232.0,1261.0,1228.0,1160.0,1103.0,1129.0,1314.0,1345.0,1.532834001045114,1.5200646117868293,1.4713987874140286,1.397944058135191,1.2125809395028746,1.2413823435627345,1.4176898344949613,1.5072899039592975
Females,65 years or over,Mental and behavioural disorders,Austria,1095.0,1752.0,1928.0,1929.0,1788.0,1955.0,2165.0,2381.0,1.3623808694353894,2.1119375097942306,2.310144024539289,2.3246845587437783,1.965634378813364,2.149603615292423,2.3358436009753363,2.6682953615814777
Males,65 years or over,Mental and behavioural disorders,Austria,665.0,905.0,1069.0,1105.0,1084.0,1211.0,1231.0,1455.0,0.8273819892004878,1.09092662463686,1.2808837978384338,1.331662227792574,1.1916933258577664,1.3315447458409841,1.3281401721942905,1.630562684208757
Total,65 years or over,Mental and behavioural disorders,Austria,1760.0,2657.0,2997.0,3034.0,2872.0,3166.0,3396.0,3836.0,2.1897628586358775,3.202864134431091,3.591027822377723,3.6563467865363526,3.15732770467113,3.481148361133407,3.663983773169627,4.298858045790235
Females,From 15 to 29 years,Mental and behavioural disorders,Austria,9.0,7.0,11.0,6.0,12.0,12.0,11.0,7.0,0.011197650981660735,0.00843810648890389,0.013180282297682666,0.007230745128285469,0.013192177039015863,0.013194497894378045,0.011868027533823879,0.007844631470420136
Males,From 15 to 29 years,Mental and behavioural disorders,Austria,16.0,10.0,20.0,19.0,11.0,15.0,15.0,13.0,0.019906935078507975,0.012054437841291272,0.023964149632150305,0.022897359572903987,0.012092828952431208,0.016493122367972558,0.016183673909759833,0.014568601302208824
Total,From 15 to 29 years,Mental and behavioural disorders,Austria,25.0,17.0,31.0,25.0,23.0,27.0,26.0,20.0,0.03110458606016871,0.02049254433019516,0.03714443192983297,0.030128104701189456,0.025285005991447073,0.029687620262350597,0.02805170144358371,0.02241323277262896
Females,From 30 to 44 years,Mental and behavioural disorders,Austria,0.0,0.0,0.0,10.0,17.0,22.0,30.0,27.0,0.0,0.0,0.0,0.012051241880475783,0.01868891747193914,0.024189912806359747,0.032367347819519665,0.030257864243049097
Males,From 30 to 44 years,Mental and behavioural disorders,Austria,0.0,0.0,0.0,51.0,59.0,59.0,64.0,58.0,0.0,0.0,0.0,0.0614613335904265,0.06486153710849465,0.06487294798069206,0.0690503420149753,0.06499837504062399
Total,From 30 to 44 years,Mental and behavioural disorders,Austria,0.0,0.0,0.0,61.0,76.0,81.0,94.0,85.0,0.0,0.0,0.0,0.07351257547090229,0.08355045458043381,0.0890628607870518,0.10141768983449495,0.09525623928367308
Females,From 45 to 64 years,Mental and behavioural disorders,Austria,0.0,0.0,0.0,67.0,59.0,94.0,78.0,72.0,0.0,0.0,0.0,0.08074332059918775,0.06486153710849465,0.10335690017262801,0.08415510433075114,0.08068763798146426
Males,From 45 to 64 years,Mental and behavioural disorders,Austria,0.0,0.0,0.0,215.0,246.0,287.0,280.0,264.0,0.0,0.0,0.0,0.25910170043022934,0.2704396292998252,0.31556840797387486,0.30209524631551693,0.2958546725987023
Total,From 45 to 64 years,Mental and behavioural disorders,Austria,0.0,0.0,0.0,282.0,305.0,381.0,358.0,336.0,0.0,0.0,0.0,0.3398450210294171,0.33530116640831986,0.41892530814650286,0.38625035064626806,0.3765423105801665
Females,Less than 15 years,Mental and behavioural disorders,Austria,2.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.002488366884813497,0.0,0.0,0.0024102483760951566,0.0010993480865846552,0.0,0.002157823187967978,0.002241323277262896
Males,Less than 15 years,Mental and behavioural disorders,Austria,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021990829823963407,0.002157823187967978,0.0
Total,Less than 15 years,Mental and behavioural disorders,Austria,2.0,0.0,0.0,2.0,1.0,2.0,4.0,2.0,0.002488366884813497,0.0,0.0,0.0024102483760951566,0.0010993480865846552,0.0021990829823963407,0.004315646375935956,0.002241323277262896
Females,Total,Mental and behavioural disorders,Austria,1183.0,1848.0,2029.0,2014.0,1877.0,2083.0,2286.0,2489.0,1.4718690123671834,2.227660113070627,2.4311629801816483,2.4271201147278227,2.0634763585193983,2.290344926165789,2.466391903847399,2.789326818553674
Males,Total,Mental and behavioural disorders,Austria,956.0,1153.0,1373.0,1390.0,1400.0,1574.0,1592.0,1790.0,1.1894393709408515,1.3898766831008835,1.6451388722471185,1.6751226213861339,1.5390873212185174,1.7306783071459202,1.7176272576225105,2.005984333150292
Total,Total,Mental and behavioural disorders,Austria,2139.0,3001.0,3402.0,3404.0,3277.0,3657.0,3878.0,4279.0,2.661308383308035,3.6175367961715104,4.076301852428767,4.102242736113956,3.6025636797379157,4.021023233311709,4.184019161469909,4.795311151703966
Females,65 years or over,Total,Austria,37128.0,38892.0,38439.0,38095.0,41538.0,40993.0,42045.0,40048.0,46.19404284967776,46.88211965235001,46.057897385511275,45.90920594367249,45.66472082055341,45.0735043486866,45.36283796905681,44.88025730391223
Males,65 years or over,Total,Austria,30644.0,31507.0,32289.0,32454.0,36482.0,36418.0,37380.0,36277.0,38.1267574091124,37.97991730655641,38.68892137362506,39.111100398896106,40.1064168947814,40.04310202645497,40.3297153831215,40.65424226463304
Total,65 years or over,Total,Austria,67772.0,70399.0,70728.0,70549.0,78020.0,77411.0,79425.0,76325.0,84.32080025879016,84.86203695890642,84.74681875913633,85.0203063425686,85.77113771533482,85.11660637514157,85.69255335217832,85.53449956854526
Females,From 15 to 29 years,Total,Austria,156.0,150.0,145.0,160.0,159.0,136.0,187.0,187.0,0.19409261701545275,0.18081656761936907,0.1737400848330897,0.19281987008761253,0.1747963457669602,0.14953764280295118,0.20175646807500594,0.20956372642408078
Males,From 15 to 29 years,Total,Austria,434.0,417.0,426.0,415.0,356.0,450.0,440.0,418.0,0.5399756140045289,0.502670057981846,0.5104363871648014,0.500126538039745,0.3913679188241373,0.4947936710391766,0.4747211013529551,0.46843656494794533
Total,From 15 to 29 years,Total,Austria,590.0,567.0,571.0,575.0,515.0,586.0,627.0,605.0,0.7340682310199815,0.6834866256012151,0.6841764719978912,0.6929464081273575,0.5661642645910975,0.6443313138421278,0.6764775694279611,0.678000291372026
Females,From 30 to 44 years,Total,Austria,,,0.0,429.0,470.0,448.0,443.0,461.0,,,0.0,0.5169982766724112,0.516693600694788,0.4925945880567803,0.4779578361349071,0.5166250154090976
Males,From 30 to 44 years,Total,Austria,,,0.0,902.0,918.0,981.0,997.0,995.0,,,0.0,1.0870220176189156,1.0092015434847135,1.078650202865405,1.075674859202037,1.1150583304382908
Total,From 30 to 44 years,Total,Austria,,,0.0,1331.0,1388.0,1429.0,1440.0,1456.0,,,0.0,1.6040202942913269,1.5258951441795015,1.5712447909221856,1.553632695336944,1.6316833458473883
Females,From 45 to 64 years,Total,Austria,,,0.0,3600.0,3661.0,3777.0,3737.0,3589.0,,,0.0,4.338447076971281,4.024713344986424,4.152968212255489,4.031892626718166,4.022054621048267
Males,From 45 to 64 years,Total,Austria,,,0.0,6529.0,6994.0,7412.0,7119.0,6896.0,,,0.0,7.868255823762639,7.688840517573079,8.14980153276084,7.680771637572017,7.728082660002465
Total,From 45 to 64 years,Total,Austria,,,0.0,10129.0,10655.0,11189.0,10856.0,10485.0,,,0.0,12.206702900733921,11.713553862559502,12.30276974501633,11.712664264290185,11.750137281050732
Females,Less than 15 years,Total,Austria,190.0,179.0,146.0,170.0,171.0,156.0,161.0,143.0,0.2363948540572822,0.21577443735911378,0.1749382923146972,0.20487111196808833,0.18798852280597605,0.1715284726269146,0.1737047666314222,0.16025461432429708
Males,Less than 15 years,Total,Austria,216.0,220.0,200.0,225.0,214.0,176.0,177.0,219.0,0.2687436235598577,0.265197632508408,0.23964149632150303,0.2711529423107051,0.2352604905291162,0.19351930245087798,0.19096735213516602,0.2454248988602871
Total,Less than 15 years,Total,Austria,406.0,399.0,346.0,395.0,385.0,332.0,338.0,362.0,0.5051384776171399,0.4809720698675217,0.41457978863620026,0.4760240542787934,0.42324901333509224,0.36504777507779257,0.3646721187665883,0.4056795131845842
Females,Total,Total,Austria,41579.0,43274.0,42902.0,42454.0,45999.0,45510.0,46573.0,44428.0,51.73190335183019,52.16437431440385,51.40549737592561,51.162342279371885,50.56891263480756,50.04013326442873,50.248149666616314,49.78875528111797
Males,Total,Total,Austria,38795.0,39683.0,40556.0,40525.0,44964.0,45437.0,46113.0,44805.0,48.26809664816981,47.83562568559615,48.59450262407439,48.83765772062811,49.43108736519244,49.95986673557127,49.751850333383686,50.21124471888203
Total,Total,Total,Austria,80374.0,82957.0,83458.0,82979.0,90963.0,90947.0,92686.0,89233.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Females,65 years or over,Use of alcohol,Austria,52.0,61.0,82.0,58.0,70.0,84.0,85.0,99.0,0.06469753900515092,0.07353207083187677,0.09825301349181625,0.06989720290675953,0.07695436606092587,0.0923614852606463,0.09170748548863907,0.11094550222451335
Males,65 years or over,Use of alcohol,Austria,199.0,225.0,225.0,221.0,247.0,260.0,262.0,281.0,0.24759250503894295,0.2712248514290536,0.2695966833616909,0.2663324455585148,0.27153897738640986,0.2858807877115243,0.28267483762380513,0.31490592045543686
Total,65 years or over,Use of alcohol,Austria,251.0,286.0,307.0,279.0,317.0,344.0,347.0,380.0,0.3122900440440939,0.34475692226093035,0.36784969685350716,0.33622964846527437,0.34849334344733573,0.3782422729721706,0.3743823231124441,0.42585142267995024
Females,From 15 to 29 years,Use of alcohol,Austria,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0012051241880475783,0.0,0.0010995414911981703,0.001078911593983989,0.0
Males,From 15 to 29 years,Use of alcohol,Austria,1.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0,0.0012441834424067484,0.0,0.0011982074816075153,0.0024102483760951566,0.0010993480865846552,0.0,0.003236734781951967,0.0
Total,From 15 to 29 years,Use of alcohol,Austria,1.0,0.0,1.0,3.0,1.0,1.0,4.0,0.0,0.0012441834424067484,0.0,0.0011982074816075153,0.0036153725641427346,0.0010993480865846552,0.0010995414911981703,0.004315646375935956,0.0
Females,From 30 to 44 years,Use of alcohol,Austria,,,0.0,2.0,4.0,7.0,8.0,7.0,,,0.0,0.0024102483760951566,0.004397392346338621,0.007696790438387192,0.008631292751871912,0.007844631470420136
Males,From 30 to 44 years,Use of alcohol,Austria,,,0.0,20.0,24.0,23.0,25.0,23.0,,,0.0,0.024102483760951567,0.026384354078031726,0.02528945429755792,0.026972789849599728,0.025775217688523307
Total,From 30 to 44 years,Use of alcohol,Austria,,,0.0,22.0,28.0,30.0,33.0,30.0,,,0.0,0.026512732137046722,0.030781746424370347,0.032986244735945115,0.03560408260147163,0.03361984915894344
Females,From 45 to 64 years,Use of alcohol,Austria,,,0.0,43.0,34.0,51.0,41.0,38.0,,,0.0,0.05182034008604587,0.03737783494387828,0.056076616051106684,0.04423537535334354,0.04258514226799502
Males,From 45 to 64 years,Use of alcohol,Austria,,,0.0,169.0,198.0,223.0,222.0,213.0,,,0.0,0.20366598778004072,0.21767092114376177,0.24519775253719198,0.23951837386444555,0.23870092902849843
Total,From 45 to 64 years,Use of alcohol,Austria,,,0.0,212.0,232.0,274.0,263.0,251.0,,,0.0,0.2554863278660866,0.25504875608764,0.30127436858829865,0.2837537492177891,0.28128607129649347
Females,Less than 15 years,Use of alcohol,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Males,Less than 15 years,Use of alcohol,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,Less than 15 years,Use of alcohol,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Females,Total,Use of alcohol,Austria,87.0,104.0,123.0,104.0,108.0,143.0,135.0,144.0,0.1082439594893871,0.12536615354942923,0.14737952023772435,0.12533291555694814,0.11872959335114278,0.15723443324133834,0.14565306518783852,0.16137527596292853
Males,Total,Use of alcohol,Austria,412.0,397.0,436.0,412.0,470.0,506.0,512.0,517.0,0.5126035782715804,0.4785611822992635,0.5224184619808766,0.49651116547560226,0.516693600694788,0.5563679945462742,0.5524027361198024,0.5793820671724587
Total,Total,Use of alcohol,Austria,499.0,501.0,559.0,516.0,578.0,649.0,647.0,661.0,0.6208475377609675,0.6039273358486927,0.669797982218601,0.6218440810325504,0.6354231940459307,0.7136024277876125,0.6980558013076409,0.7407573431353872
Females,65 years or over,COVID-19,Belgium,0.0,0.0,0.0,0.0,10880.0,4073.0,2899.0,0.0,0.0,0.0,0.0,0.0,8.577803357011645,3.634141118526714,2.493248705643566,
Males,65 years or over,COVID-19,Belgium,0.0,0.0,0.0,0.0,9918.0,4991.0,3265.0,0.0,0.0,0.0,0.0,0.0,7.819361552834696,4.453228166601235,2.8080224297779384,
Total,65 years or over,COVID-19,Belgium,0.0,0.0,0.0,0.0,20798.0,9064.0,6164.0,0.0,0.0,0.0,0.0,0.0,16.39716490984634,8.087369285127949,5.301271135421504,
Females,From 15 to 29 years,COVID-19,Belgium,0.0,0.0,0.0,0.0,7.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.005518807306900874,0.003569006745422749,0.003440149990539588,
Males,From 15 to 29 years,COVID-19,Belgium,0.0,0.0,0.0,0.0,7.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,0.005518807306900874,0.007138013490845498,0.004300187488174485,
Total,From 15 to 29 years,COVID-19,Belgium,0.0,0.0,0.0,0.0,14.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.011037614613801748,0.010707020236268247,0.007740337478714073,
Females,From 30 to 44 years,COVID-19,Belgium,0.0,0.0,0.0,0.0,33.0,32.0,10.0,0.0,0.0,0.0,0.0,0.0,0.02601723444681841,0.028552053963381993,0.00860037497634897,
Males,From 30 to 44 years,COVID-19,Belgium,0.0,0.0,0.0,0.0,56.0,51.0,16.0,0.0,0.0,0.0,0.0,0.0,0.044150458455206994,0.04550483600414005,0.013760599962158351,
Total,From 30 to 44 years,COVID-19,Belgium,0.0,0.0,0.0,0.0,89.0,83.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0701676929020254,0.07405688996752205,0.02236097493850732,
Females,From 45 to 64 years,COVID-19,Belgium,0.0,0.0,0.0,0.0,433.0,329.0,164.0,0.0,0.0,0.0,0.0,0.0,0.3413776519840112,0.2935508048110211,0.14104614961212308,
Males,From 45 to 64 years,COVID-19,Belgium,0.0,0.0,0.0,0.0,861.0,696.0,244.0,0.0,0.0,0.0,0.0,0.0,0.6788132987488076,0.6210071737035583,0.20984914942291485,
Total,From 45 to 64 years,COVID-19,Belgium,0.0,0.0,0.0,0.0,1294.0,1025.0,408.0,0.0,0.0,0.0,0.0,0.0,1.0201909507328188,0.9145579785145794,0.35089529903503797,
Females,Less than 15 years,COVID-19,Belgium,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0023652031315289463,0.002676755059067062,0.001720074995269794,
Males,Less than 15 years,COVID-19,Belgium,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00624576180448981,0.0,
Total,Less than 15 years,COVID-19,Belgium,0.0,0.0,0.0,0.0,3.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0023652031315289463,0.008922516863556872,0.001720074995269794,
Females,Total,COVID-19,Belgium,0.0,0.0,0.0,0.0,11357.0,4441.0,3079.0,0.0,0.0,0.0,0.0,0.0,8.953870654924748,3.9624897391056066,2.6480554552178477,
