sex,age,cause,country,2016,2017,2018,2019,2020,2021,2022,2023
Total,65 years or over,Intentional self-harm,Austria,449.0,494.0,494.0,445.0,440.0,480.0,545.0,560.0
Females,From 15 to 29 years,Intentional self-harm,Austria,30.0,28.0,17.0,15.0,18.0,18.0,31.0,27.0
Males,From 15 to 29 years,Intentional self-harm,Austria,100.0,110.0,104.0,88.0,68.0,94.0,95.0,94.0
Total,From 15 to 29 years,Intentional self-harm,Austria,130.0,138.0,121.0,103.0,86.0,112.0,126.0,121.0
Females,From 30 to 44 years,Intentional self-harm,Austria,,,0.0,42.0,37.0,30.0,35.0,32.0
Males,From 30 to 44 years,Intentional self-harm,Austria,,,0.0,151.0,132.0,126.0,149.0,180.0
Total,From 30 to 44 years,Intentional self-harm,Austria,,,0.0,193.0,169.0,156.0,184.0,212.0
Females,From 45 to 64 years,Intentional self-harm,Austria,,,0.0,109.0,94.0,92.0,110.0,81.0
Males,From 45 to 64 years,Intentional self-harm,Austria,,,0.0,309.0,311.0,288.0,348.0,365.0
Total,From 45 to 64 years,Intentional self-harm,Austria,,,0.0,418.0,405.0,380.0,458.0,446.0
Females,Less than 15 years,Intentional self-harm,Austria,2.0,2.0,1.0,0.0,1.0,1.0,0.0,4.0
Males,Less than 15 years,Intentional self-harm,Austria,1.0,3.0,1.0,1.0,2.0,0.0,1.0,2.0
Total,Less than 15 years,Intentional self-harm,Austria,3.0,5.0,2.0,1.0,3.0,1.0,1.0,6.0
Females,Total,Intentional self-harm,Austria,299.0,267.0,266.0,253.0,237.0,226.0,313.0,301.0
Males,Total,Intentional self-harm,Austria,933.0,994.0,962.0,907.0,866.0,903.0,1001.0,1044.0
Total,Total,Intentional self-harm,Austria,1232.0,1261.0,1228.0,1160.0,1103.0,1129.0,1314.0,1345.0
Females,65 years or over,Mental and behavioural disorders,Austria,1095.0,1752.0,1928.0,1929.0,1788.0,1955.0,2165.0,2381.0
Males,65 years or over,Mental and behavioural disorders,Austria,665.0,905.0,1069.0,1105.0,1084.0,1211.0,1231.0,1455.0
Total,65 years or over,Mental and behavioural disorders,Austria,1760.0,2657.0,2997.0,3034.0,2872.0,3166.0,3396.0,3836.0
Females,From 15 to 29 years,Mental and behavioural disorders,Austria,9.0,7.0,11.0,6.0,12.0,12.0,11.0,7.0
Males,From 15 to 29 years,Mental and behavioural disorders,Austria,16.0,10.0,20.0,19.0,11.0,15.0,15.0,13.0
Total,From 15 to 29 years,Mental and behavioural disorders,Austria,25.0,17.0,31.0,25.0,23.0,27.0,26.0,20.0
Females,From 30 to 44 years,Mental and behavioural disorders,Austria,0.0,0.0,0.0,10.0,17.0,22.0,30.0,27.0
Males,From 30 to 44 years,Mental and behavioural disorders,Austria,0.0,0.0,0.0,51.0,59.0,59.0,64.0,58.0
Total,From 30 to 44 years,Mental and behavioural disorders,Austria,0.0,0.0,0.0,61.0,76.0,81.0,94.0,85.0
Females,From 45 to 64 years,Mental and behavioural disorders,Austria,0.0,0.0,0.0,67.0,59.0,94.0,78.0,72.0
Males,From 45 to 64 years,Mental and behavioural disorders,Austria,0.0,0.0,0.0,215.0,246.0,287.0,280.0,264.0
Total,From 45 to 64 years,Mental and behavioural disorders,Austria,0.0,0.0,0.0,282.0,305.0,381.0,358.0,336.0
Females,Less than 15 years,Mental and behavioural disorders,Austria,2.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0
Males,Less than 15 years,Mental and behavioural disorders,Austria,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
Total,Less than 15 years,Mental and behavioural disorders,Austria,2.0,0.0,0.0,2.0,1.0,2.0,4.0,2.0
Females,Total,Mental and behavioural disorders,Austria,1183.0,1848.0,2029.0,2014.0,1877.0,2083.0,2286.0,2489.0
Males,Total,Mental and behavioural disorders,Austria,956.0,1153.0,1373.0,1390.0,1400.0,1574.0,1592.0,1790.0
Total,Total,Mental and behavioural disorders,Austria,2139.0,3001.0,3402.0,3404.0,3277.0,3657.0,3878.0,4279.0
Females,65 years or over,Total,Austria,37128.0,38892.0,38439.0,38095.0,41538.0,40993.0,42045.0,40048.0
Males,65 years or over,Total,Austria,30644.0,31507.0,32289.0,32454.0,36482.0,36418.0,37380.0,36277.0
Total,65 years or over,Total,Austria,67772.0,70399.0,70728.0,70549.0,78020.0,77411.0,79425.0,76325.0
Females,From 15 to 29 years,Total,Austria,156.0,150.0,145.0,160.0,159.0,136.0,187.0,187.0
Males,From 15 to 29 years,Total,Austria,434.0,417.0,426.0,415.0,356.0,450.0,440.0,418.0
Total,From 15 to 29 years,Total,Austria,590.0,567.0,571.0,575.0,515.0,586.0,627.0,605.0
Females,From 30 to 44 years,Total,Austria,,,0.0,429.0,470.0,448.0,443.0,461.0
Males,From 30 to 44 years,Total,Austria,,,0.0,902.0,918.0,981.0,997.0,995.0
Total,From 30 to 44 years,Total,Austria,,,0.0,1331.0,1388.0,1429.0,1440.0,1456.0
Females,From 45 to 64 years,Total,Austria,,,0.0,3600.0,3661.0,3777.0,3737.0,3589.0
Males,From 45 to 64 years,Total,Austria,,,0.0,6529.0,6994.0,7412.0,7119.0,6896.0
Total,From 45 to 64 years,Total,Austria,,,0.0,10129.0,10655.0,11189.0,10856.0,10485.0
Females,Less than 15 years,Total,Austria,190.0,179.0,146.0,170.0,171.0,156.0,161.0,143.0
Males,Less than 15 years,Total,Austria,216.0,220.0,200.0,225.0,214.0,176.0,177.0,219.0
Total,Less than 15 years,Total,Austria,406.0,399.0,346.0,395.0,385.0,332.0,338.0,362.0
Females,Total,Total,Austria,41579.0,43274.0,42902.0,42454.0,45999.0,45510.0,46573.0,44428.0
Males,Total,Total,Austria,38795.0,39683.0,40556.0,40525.0,44964.0,45437.0,46113.0,44805.0
Total,Total,Total,Austria,80374.0,82957.0,83458.0,82979.0,90963.0,90947.0,92686.0,89233.0
Females,65 years or over,Use of alcohol,Austria,52.0,61.0,82.0,58.0,70.0,84.0,85.0,99.0
Males,65 years or over,Use of alcohol,Austria,199.0,225.0,225.0,221.0,247.0,260.0,262.0,281.0
Total,65 years or over,Use of alcohol,Austria,251.0,286.0,307.0,279.0,317.0,344.0,347.0,380.0
Females,From 15 to 29 years,Use of alcohol,Austria,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Males,From 15 to 29 years,Use of alcohol,Austria,1.0,0.0,1.0,2.0,1.0,0.0,3.0,0.0
Total,From 15 to 29 years,Use of alcohol,Austria,1.0,0.0,1.0,3.0,1.0,1.0,4.0,0.0
Females,From 30 to 44 years,Use of alcohol,Austria,,,0.0,2.0,4.0,7.0,8.0,7.0
Males,From 30 to 44 years,Use of alcohol,Austria,,,0.0,20.0,24.0,23.0,25.0,23.0
Total,From 30 to 44 years,Use of alcohol,Austria,,,0.0,22.0,28.0,30.0,33.0,30.0
Females,From 45 to 64 years,Use of alcohol,Austria,,,0.0,43.0,34.0,51.0,41.0,38.0
Males,From 45 to 64 years,Use of alcohol,Austria,,,0.0,169.0,198.0,223.0,222.0,213.0
Total,From 45 to 64 years,Use of alcohol,Austria,,,0.0,212.0,232.0,274.0,263.0,251.0
Females,Less than 15 years,Use of alcohol,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Males,Less than 15 years,Use of alcohol,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,Less than 15 years,Use of alcohol,Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Females,Total,Use of alcohol,Austria,87.0,104.0,123.0,104.0,108.0,143.0,135.0,144.0
Males,Total,Use of alcohol,Austria,412.0,397.0,436.0,412.0,470.0,506.0,512.0,517.0
Total,Total,Use of alcohol,Austria,499.0,501.0,559.0,516.0,578.0,649.0,647.0,661.0
Females,65 years or over,Drug dependence,Belgium,2.0,0.0,1.0,2.0,4.0,4.0,2.0,
Males,65 years or over,Drug dependence,Belgium,2.0,4.0,2.0,4.0,5.0,5.0,9.0,
Total,65 years or over,Drug dependence,Belgium,4.0,4.0,3.0,6.0,9.0,9.0,11.0,
Females,From 15 to 29 years,Drug dependence,Belgium,1.0,0.0,0.0,1.0,0.0,3.0,0.0,
Males,From 15 to 29 years,Drug dependence,Belgium,4.0,0.0,3.0,1.0,2.0,3.0,6.0,
Total,From 15 to 29 years,Drug dependence,Belgium,5.0,0.0,3.0,2.0,2.0,6.0,6.0,
Females,From 30 to 44 years,Drug dependence,Belgium,,,0.0,1.0,2.0,5.0,4.0,
Males,From 30 to 44 years,Drug dependence,Belgium,,,0.0,11.0,10.0,16.0,11.0,
Total,From 30 to 44 years,Drug dependence,Belgium,,,0.0,12.0,12.0,21.0,15.0,
Females,From 45 to 64 years,Drug dependence,Belgium,,,0.0,3.0,2.0,7.0,7.0,
Males,From 45 to 64 years,Drug dependence,Belgium,,,0.0,20.0,21.0,15.0,23.0,
Total,From 45 to 64 years,Drug dependence,Belgium,,,0.0,23.0,23.0,22.0,30.0,
Females,Less than 15 years,Drug dependence,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,Less than 15 years,Drug dependence,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total,Less than 15 years,Drug dependence,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Females,Total,Drug dependence,Belgium,9.0,7.0,4.0,7.0,8.0,19.0,13.0,
Males,Total,Drug dependence,Belgium,47.0,32.0,16.0,36.0,38.0,39.0,49.0,
Total,Total,Drug dependence,Belgium,56.0,39.0,20.0,43.0,46.0,58.0,62.0,
Females,65 years or over,Intentional self-harm,Belgium,150.0,138.0,137.0,126.0,136.0,134.0,160.0,
Males,65 years or over,Intentional self-harm,Belgium,336.0,280.0,332.0,308.0,343.0,350.0,322.0,
Total,65 years or over,Intentional self-harm,Belgium,486.0,418.0,469.0,434.0,479.0,484.0,482.0,
Females,From 15 to 29 years,Intentional self-harm,Belgium,48.0,41.0,52.0,52.0,44.0,53.0,57.0,
Males,From 15 to 29 years,Intentional self-harm,Belgium,171.0,166.0,145.0,156.0,134.0,148.0,115.0,
Total,From 15 to 29 years,Intentional self-harm,Belgium,219.0,207.0,197.0,208.0,178.0,201.0,172.0,
Females,From 30 to 44 years,Intentional self-harm,Belgium,,,0.0,72.0,85.0,83.0,87.0,
Males,From 30 to 44 years,Intentional self-harm,Belgium,,,0.0,286.0,309.0,268.0,318.0,
Total,From 30 to 44 years,Intentional self-harm,Belgium,,,0.0,358.0,394.0,351.0,405.0,
Females,From 45 to 64 years,Intentional self-harm,Belgium,,,0.0,219.0,207.0,197.0,246.0,
Males,From 45 to 64 years,Intentional self-harm,Belgium,,,0.0,538.0,497.0,432.0,480.0,
Total,From 45 to 64 years,Intentional self-harm,Belgium,,,0.0,757.0,704.0,629.0,726.0,
Females,Less than 15 years,Intentional self-harm,Belgium,2.0,2.0,0.0,1.0,7.0,3.0,7.0,
Males,Less than 15 years,Intentional self-harm,Belgium,3.0,4.0,2.0,2.0,4.0,4.0,3.0,
Total,Less than 15 years,Intentional self-harm,Belgium,5.0,6.0,2.0,3.0,11.0,7.0,10.0,
Females,Total,Intentional self-harm,Belgium,553.0,490.0,514.0,470.0,479.0,470.0,558.0,
Males,Total,Intentional self-harm,Belgium,1393.0,1235.0,1308.0,1291.0,1288.0,1203.0,1238.0,
Total,Total,Intentional self-harm,Belgium,1946.0,1725.0,1822.0,1761.0,1767.0,1674.0,1796.0,
Females,65 years or over,Mental and behavioural disorders,Belgium,3368.0,3585.0,3562.0,3730.0,3606.0,3030.0,3531.0,0.0
Males,65 years or over,Mental and behavioural disorders,Belgium,1796.0,1925.0,1938.0,2009.0,1796.0,1698.0,1811.0,0.0
Total,65 years or over,Mental and behavioural disorders,Belgium,5164.0,5510.0,5500.0,5739.0,5402.0,4728.0,5342.0,0.0
Females,From 15 to 29 years,Mental and behavioural disorders,Belgium,13.0,13.0,18.0,4.0,14.0,11.0,12.0,0.0
Males,From 15 to 29 years,Mental and behavioural disorders,Belgium,18.0,6.0,6.0,4.0,8.0,7.0,14.0,0.0
Total,From 15 to 29 years,Mental and behavioural disorders,Belgium,31.0,19.0,24.0,8.0,22.0,18.0,26.0,0.0
Females,From 30 to 44 years,Mental and behavioural disorders,Belgium,0.0,0.0,0.0,21.0,24.0,27.0,32.0,0.0
Males,From 30 to 44 years,Mental and behavioural disorders,Belgium,0.0,0.0,0.0,54.0,32.0,61.0,44.0,0.0
Total,From 30 to 44 years,Mental and behavioural disorders,Belgium,0.0,0.0,0.0,75.0,56.0,88.0,76.0,0.0
Females,From 45 to 64 years,Mental and behavioural disorders,Belgium,0.0,0.0,0.0,146.0,119.0,129.0,129.0,0.0
Males,From 45 to 64 years,Mental and behavioural disorders,Belgium,0.0,0.0,0.0,248.0,290.0,283.0,294.0,0.0
Total,From 45 to 64 years,Mental and behavioural disorders,Belgium,0.0,0.0,0.0,394.0,409.0,412.0,423.0,0.0
Females,Less than 15 years,Mental and behavioural disorders,Belgium,2.0,2.0,0.0,6.0,2.0,2.0,2.0,0.0
Males,Less than 15 years,Mental and behavioural disorders,Belgium,4.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0
Total,Less than 15 years,Mental and behavioural disorders,Belgium,6.0,2.0,0.0,8.0,4.0,4.0,2.0,0.0
Females,Total,Mental and behavioural disorders,Belgium,3560.0,3796.0,3725.0,3907.0,3765.0,3199.0,3706.0,0.0
Males,Total,Mental and behavioural disorders,Belgium,2176.0,2264.0,2267.0,2317.0,2128.0,2051.0,2163.0,0.0
Total,Total,Mental and behavioural disorders,Belgium,5736.0,6060.0,5992.0,6224.0,5893.0,5250.0,5869.0,0.0
Females,65 years or over,Total,Belgium,48301.0,49173.0,50172.0,49422.0,58430.0,49430.0,53374.0,
Males,65 years or over,Total,Belgium,42131.0,42617.0,43515.0,42978.0,51251.0,46008.0,46601.0,
Total,65 years or over,Total,Belgium,90432.0,91790.0,93688.0,92400.0,109681.0,95438.0,99975.0,
Females,From 15 to 29 years,Total,Belgium,232.0,208.0,201.0,200.0,181.0,197.0,195.0,
Males,From 15 to 29 years,Total,Belgium,558.0,500.0,477.0,504.0,462.0,495.0,486.0,
Total,From 15 to 29 years,Total,Belgium,790.0,708.0,678.0,704.0,643.0,692.0,681.0,
Females,From 30 to 44 years,Total,Belgium,,,0.0,628.0,675.0,704.0,654.0,
Males,From 30 to 44 years,Total,Belgium,,,0.0,1253.0,1264.0,1313.0,1323.0,
Total,From 30 to 44 years,Total,Belgium,,,0.0,1881.0,1939.0,2017.0,1977.0,
Females,From 45 to 64 years,Total,Belgium,,,0.0,5055.0,5163.0,4936.0,5028.0,
Males,From 45 to 64 years,Total,Belgium,,,0.0,8153.0,8854.0,8459.0,8085.0,
Total,From 45 to 64 years,Total,Belgium,,,0.0,13208.0,14017.0,13395.0,13113.0,
Females,Less than 15 years,Total,Belgium,225.0,260.0,273.0,258.0,266.0,227.0,241.0,
Males,Less than 15 years,Total,Belgium,351.0,355.0,355.0,338.0,286.0,305.0,284.0,
Total,Less than 15 years,Total,Belgium,576.0,615.0,628.0,596.0,552.0,532.0,525.0,
Females,Total,Total,Belgium,54778.0,55373.0,56583.0,55564.0,64716.0,55494.0,59494.0,
Males,Total,Total,Belgium,53327.0,52960.0,54016.0,53229.0,62122.0,56581.0,56780.0,
Total,Total,Total,Belgium,108107.0,108333.0,110600.0,108793.0,126839.0,112076.0,116274.0,
Females,65 years or over,Use of alcohol,Belgium,42.0,53.0,46.0,49.0,62.0,44.0,59.0,
Males,65 years or over,Use of alcohol,Belgium,110.0,137.0,124.0,131.0,118.0,103.0,142.0,
Total,65 years or over,Use of alcohol,Belgium,152.0,190.0,170.0,180.0,180.0,147.0,201.0,
Females,From 15 to 29 years,Use of alcohol,Belgium,0.0,1.0,0.0,1.0,0.0,0.0,0.0,
Males,From 15 to 29 years,Use of alcohol,Belgium,0.0,1.0,3.0,1.0,2.0,2.0,2.0,
Total,From 15 to 29 years,Use of alcohol,Belgium,0.0,2.0,3.0,2.0,2.0,2.0,2.0,
Females,From 30 to 44 years,Use of alcohol,Belgium,,,0.0,3.0,6.0,4.0,8.0,
Males,From 30 to 44 years,Use of alcohol,Belgium,,,0.0,21.0,14.0,29.0,17.0,
Total,From 30 to 44 years,Use of alcohol,Belgium,,,0.0,24.0,20.0,33.0,25.0,
Females,From 45 to 64 years,Use of alcohol,Belgium,,,0.0,40.0,43.0,31.0,36.0,
Males,From 45 to 64 years,Use of alcohol,Belgium,,,0.0,128.0,176.0,165.0,158.0,
Total,From 45 to 64 years,Use of alcohol,Belgium,,,0.0,168.0,219.0,196.0,194.0,
Females,Less than 15 years,Use of alcohol,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,Less than 15 years,Use of alcohol,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total,Less than 15 years,Use of alcohol,Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Females,Total,Use of alcohol,Belgium,99.0,112.0,90.0,93.0,111.0,79.0,103.0,
Males,Total,Use of alcohol,Belgium,295.0,319.0,302.0,281.0,310.0,299.0,319.0,
Total,Total,Use of alcohol,Belgium,394.0,431.0,392.0,374.0,421.0,378.0,422.0,
Females,65 years or over,Drug dependence,Bulgaria,1.0,0.0,0.0,0.0,0.0,0.0,1.0,
Males,65 years or over,Drug dependence,Bulgaria,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
Total,65 years or over,Drug dependence,Bulgaria,1.0,1.0,0.0,0.0,0.0,0.0,1.0,
Females,From 15 to 29 years,Drug dependence,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,From 15 to 29 years,Drug dependence,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total,From 15 to 29 years,Drug dependence,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Females,From 30 to 44 years,Drug dependence,Bulgaria,,,0.0,0.0,0.0,0.0,0.0,
Males,From 30 to 44 years,Drug dependence,Bulgaria,,,0.0,1.0,0.0,0.0,1.0,
Total,From 30 to 44 years,Drug dependence,Bulgaria,,,0.0,1.0,0.0,0.0,1.0,
Females,From 45 to 64 years,Drug dependence,Bulgaria,,,0.0,0.0,0.0,0.0,0.0,
Males,From 45 to 64 years,Drug dependence,Bulgaria,,,0.0,0.0,0.0,2.0,0.0,
Total,From 45 to 64 years,Drug dependence,Bulgaria,,,0.0,0.0,0.0,2.0,0.0,
Females,Less than 15 years,Drug dependence,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,Less than 15 years,Drug dependence,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Total,Less than 15 years,Drug dependence,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Females,Total,Drug dependence,Bulgaria,2.0,0.0,0.0,0.0,0.0,0.0,1.0,
Males,Total,Drug dependence,Bulgaria,3.0,1.0,0.0,1.0,0.0,2.0,1.0,
Total,Total,Drug dependence,Bulgaria,5.0,1.0,0.0,1.0,0.0,2.0,2.0,
Females,65 years or over,Intentional self-harm,Bulgaria,74.0,85.0,64.0,63.0,63.0,61.0,41.0,
Males,65 years or over,Intentional self-harm,Bulgaria,200.0,228.0,201.0,170.0,182.0,170.0,152.0,
Total,65 years or over,Intentional self-harm,Bulgaria,274.0,313.0,265.0,233.0,245.0,231.0,193.0,
Females,From 15 to 29 years,Intentional self-harm,Bulgaria,12.0,8.0,19.0,7.0,7.0,6.0,4.0,
Males,From 15 to 29 years,Intentional self-harm,Bulgaria,47.0,49.0,38.0,42.0,36.0,35.0,38.0,
Total,From 15 to 29 years,Intentional self-harm,Bulgaria,59.0,57.0,57.0,49.0,43.0,41.0,42.0,
Females,From 30 to 44 years,Intentional self-harm,Bulgaria,,,0.0,15.0,19.0,17.0,12.0,
Males,From 30 to 44 years,Intentional self-harm,Bulgaria,,,0.0,68.0,72.0,64.0,46.0,
Total,From 30 to 44 years,Intentional self-harm,Bulgaria,,,0.0,83.0,91.0,81.0,58.0,
Females,From 45 to 64 years,Intentional self-harm,Bulgaria,,,0.0,37.0,35.0,42.0,27.0,
Males,From 45 to 64 years,Intentional self-harm,Bulgaria,,,0.0,171.0,172.0,161.0,112.0,
Total,From 45 to 64 years,Intentional self-harm,Bulgaria,,,0.0,208.0,207.0,203.0,139.0,
Females,Less than 15 years,Intentional self-harm,Bulgaria,1.0,0.0,1.0,1.0,0.0,0.0,0.0,
Males,Less than 15 years,Intentional self-harm,Bulgaria,1.0,2.0,1.0,0.0,1.0,0.0,0.0,
Total,Less than 15 years,Intentional self-harm,Bulgaria,2.0,2.0,2.0,1.0,1.0,0.0,0.0,
Females,Total,Intentional self-harm,Bulgaria,157.0,167.0,147.0,123.0,124.0,126.0,84.0,
Males,Total,Intentional self-harm,Bulgaria,507.0,533.0,494.0,451.0,463.0,430.0,348.0,
Total,Total,Intentional self-harm,Bulgaria,664.0,700.0,641.0,574.0,587.0,556.0,432.0,
Females,65 years or over,Mental and behavioural disorders,Bulgaria,33.0,30.0,35.0,42.0,48.0,49.0,42.0,0.0
Males,65 years or over,Mental and behavioural disorders,Bulgaria,21.0,27.0,30.0,27.0,38.0,33.0,19.0,0.0
Total,65 years or over,Mental and behavioural disorders,Bulgaria,54.0,57.0,65.0,69.0,86.0,82.0,61.0,0.0
Females,From 15 to 29 years,Mental and behavioural disorders,Bulgaria,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Males,From 15 to 29 years,Mental and behavioural disorders,Bulgaria,2.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0
Total,From 15 to 29 years,Mental and behavioural disorders,Bulgaria,4.0,0.0,2.0,0.0,0.0,3.0,2.0,0.0
Females,From 30 to 44 years,Mental and behavioural disorders,Bulgaria,0.0,0.0,0.0,3.0,5.0,7.0,2.0,0.0
Males,From 30 to 44 years,Mental and behavioural disorders,Bulgaria,0.0,0.0,0.0,11.0,7.0,5.0,6.0,0.0
Total,From 30 to 44 years,Mental and behavioural disorders,Bulgaria,0.0,0.0,0.0,14.0,12.0,12.0,8.0,0.0
Females,From 45 to 64 years,Mental and behavioural disorders,Bulgaria,0.0,0.0,0.0,13.0,17.0,8.0,9.0,0.0
Males,From 45 to 64 years,Mental and behavioural disorders,Bulgaria,0.0,0.0,0.0,25.0,43.0,26.0,27.0,0.0
Total,From 45 to 64 years,Mental and behavioural disorders,Bulgaria,0.0,0.0,0.0,38.0,60.0,34.0,36.0,0.0
Females,Less than 15 years,Mental and behavioural disorders,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Males,Less than 15 years,Mental and behavioural disorders,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,Less than 15 years,Mental and behavioural disorders,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Females,Total,Mental and behavioural disorders,Bulgaria,55.0,45.0,46.0,58.0,70.0,64.0,53.0,0.0
Males,Total,Mental and behavioural disorders,Bulgaria,59.0,56.0,60.0,63.0,88.0,67.0,54.0,0.0
Total,Total,Mental and behavioural disorders,Bulgaria,114.0,101.0,106.0,121.0,158.0,131.0,107.0,0.0
Females,65 years or over,Total,Bulgaria,43914.0,45493.0,44689.0,44831.0,50360.0,61185.0,49390.0,
Males,65 years or over,Total,Bulgaria,39829.0,40943.0,40614.0,40444.0,48148.0,56627.0,45474.0,
Total,65 years or over,Total,Bulgaria,83743.0,86436.0,85303.0,85275.0,98508.0,117812.0,94864.0,
Females,From 15 to 29 years,Total,Bulgaria,181.0,165.0,170.0,151.0,149.0,210.0,148.0,
Males,From 15 to 29 years,Total,Bulgaria,456.0,437.0,411.0,429.0,373.0,466.0,347.0,
Total,From 15 to 29 years,Total,Bulgaria,637.0,602.0,581.0,580.0,522.0,676.0,495.0,
Females,From 30 to 44 years,Total,Bulgaria,,,0.0,722.0,772.0,960.0,714.0,
Males,From 30 to 44 years,Total,Bulgaria,,,0.0,1600.0,1833.0,2068.0,1587.0,
Total,From 30 to 44 years,Total,Bulgaria,,,0.0,2322.0,2605.0,3028.0,2301.0,
Females,From 45 to 64 years,Total,Bulgaria,,,0.0,5385.0,6592.0,8143.0,5642.0,
Males,From 45 to 64 years,Total,Bulgaria,,,0.0,12553.0,14481.0,16690.0,12933.0,
Total,From 45 to 64 years,Total,Bulgaria,,,0.0,17938.0,21073.0,24833.0,18575.0,
Females,Less than 15 years,Total,Bulgaria,242.0,242.0,241.0,242.0,204.0,242.0,190.0,
Males,Less than 15 years,Total,Bulgaria,351.0,341.0,314.0,268.0,248.0,264.0,235.0,
Total,Less than 15 years,Total,Bulgaria,593.0,583.0,555.0,510.0,452.0,506.0,425.0,
Females,Total,Total,Bulgaria,50998.0,52475.0,51583.0,51331.0,58077.0,70740.0,56084.0,
Males,Total,Total,Bulgaria,55521.0,56141.0,55709.0,55294.0,65083.0,76115.0,60576.0,
Total,Total,Total,Bulgaria,106519.0,108616.0,107292.0,106625.0,123160.0,146855.0,116660.0,
Females,65 years or over,Use of alcohol,Bulgaria,0.0,2.0,0.0,1.0,2.0,2.0,0.0,
Males,65 years or over,Use of alcohol,Bulgaria,7.0,6.0,9.0,10.0,12.0,16.0,6.0,
Total,65 years or over,Use of alcohol,Bulgaria,7.0,8.0,9.0,11.0,14.0,18.0,6.0,
Females,From 15 to 29 years,Use of alcohol,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Males,From 15 to 29 years,Use of alcohol,Bulgaria,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
Total,From 15 to 29 years,Use of alcohol,Bulgaria,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
