worktime,sector,sex,level,country,2005,2010,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Cyprus,,,,7805.0,8393.0,9309.0,9173.0,11092.0,12362.0,14491.0,16971.0,17761.0,18563.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Czechia,,,,35062.0,31472.0,28874.0,23717.0,22818.0,21451.0,20388.0,20287.0,20074.0,19929.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Germany,,,,86432.0,95768.0,102137.0,110717.0,118426.0,129311.0,147993.0,157196.0,179999.0,202899.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Denmark,,,,2573.0,3185.0,3260.0,2970.0,2156.0,2175.0,908.0,933.0,939.0,890.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Estonia,,,,27272.0,25313.0,23674.0,1556.0,1499.0,1277.0,1282.0,1159.0,1165.0,1096.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Greece,,,,,,,,,,,,,
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Spain,,,,128849.0,136346.0,137959.0,144838.0,160024.0,173460.0,176532.0,196118.0,216585.0,228307.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),European Union - 27 countries (from 2020),,,,1119310.0,1118254.0,1144082.0,1152250.0,1216851.0,1305168.0,1368960.0,1478448.0,1557113.0,1746141.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),European Union - 28 countries (2013-2020),,,,2054712.0,2073665.0,2114140.0,2164861.0,2278225.0,2407530.0,2548446.0,,,
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Finland,,,,33287.0,34706.0,47034.0,56023.0,56681.0,56076.0,55524.0,55344.0,57764.0,61017.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),France,,,,250945.0,255872.0,255456.0,260861.0,272228.0,314205.0,325413.0,346449.0,346010.0,385153.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Croatia,,,,2963.0,3291.0,3076.0,3380.0,3679.0,3858.0,4020.0,4052.0,3871.0,3788.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Hungary,,,,22350.0,17333.0,14132.0,13216.0,13015.0,12846.0,12562.0,18227.0,26805.0,82807.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Ireland,,,,1246.0,1914.0,3928.0,1865.0,2243.0,3577.0,2424.0,2949.0,3008.0,2687.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Iceland,,,,1245.0,1469.0,1620.0,1591.0,1427.0,1438.0,1513.0,1616.0,1817.0,1827.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Italy,,,,94986.0,98753.0,101532.0,106533.0,117504.0,136435.0,155435.0,199579.0,208211.0,239565.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Liechtenstein,,,,226.0,217.0,196.0,229.0,265.0,273.0,290.0,294.0,310.0,300.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Lithuania,,,,6323.0,6062.0,5500.0,4962.0,4529.0,4626.0,4894.0,5312.0,5737.0,6156.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Luxembourg,,,,,,0.0,58.0,118.0,,0.0,0.0,0.0,0.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Latvia,,,,37075.0,34234.0,34053.0,33210.0,31457.0,30506.0,28233.0,27417.0,27615.0,28304.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Montenegro,,,,,,,2811.0,2995.0,2908.0,3037.0,3256.0,3355.0,
Full-time,Private institutions,Females,Tertiary education (levels 5-8),North Macedonia,,,,,2209.0,3167.0,3163.0,3343.0,3524.0,3192.0,3573.0,4147.0,4242.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Malta,,,,3.0,3.0,25.0,78.0,118.0,307.0,456.0,494.0,630.0,1199.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Netherlands,,,,,,17221.0,15962.0,19293.0,18667.0,18640.0,18043.0,18043.0,16266.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Norway,,,,15674.0,15401.0,15340.0,17093.0,17965.0,17875.0,17692.0,18999.0,21299.0,22608.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Poland,,,,52267.0,99809.0,94685.0,102891.0,108960.0,114164.0,121609.0,120712.0,116901.0,132159.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Portugal,,,,37546.0,33212.0,31341.0,31760.0,32511.0,35147.0,37882.0,40314.0,43113.0,45746.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Romania,,,,105114.0,41886.0,34442.0,32245.0,31176.0,31390.0,30346.0,30444.0,31499.0,31074.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Serbia,,,,17502.0,17208.0,15480.0,15819.0,16145.0,16170.0,16925.0,16697.0,17959.0,18953.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Sweden,,,,13130.0,13760.0,13978.0,14081.0,15203.0,15536.0,17334.0,18992.0,21421.0,22542.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Slovenia,,,,3239.0,2792.0,2793.0,2417.0,2300.0,2274.0,2304.0,2364.0,2526.0,2580.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Slovakia,,,,5348.0,5324.0,5002.0,4228.0,3644.0,3806.0,4277.0,4950.0,5327.0,5965.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),Türkiye,,,,144614.0,176866.0,218459.0,268236.0,275359.0,289835.0,302008.0,314488.0,332298.0,355290.0
Full-time,Private institutions,Females,Tertiary education (levels 5-8),United Kingdom,,,,935402.0,955411.0,970057.0,1012611.0,1061374.0,1102362.0,1179486.0,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Albania,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Austria,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Bosnia and Herzegovina,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Belgium,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Bulgaria,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Switzerland,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Cyprus,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Czechia,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Germany,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Denmark,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Estonia,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Greece,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Spain,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,European Union - 27 countries (from 2020),,,,,,186.0,222.0,166.0,110.0,803.0,783.0,793.0,867.0
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,European Union - 28 countries (2013-2020),,,,,,28154.0,25859.0,26989.0,27403.0,37466.0,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Finland,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,France,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Croatia,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Hungary,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Ireland,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Iceland,,,,1.0,0.0,3.0,0.0,2.0,0.0,4.0,3.0,12.0,7.0
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Italy,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Liechtenstein,,,,,,,,,,0.0,0.0,0.0,0.0
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Lithuania,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Luxembourg,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Latvia,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Montenegro,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,North Macedonia,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Malta,,,,0.0,0.0,7.0,24.0,13.0,17.0,44.0,20.0,15.0,35.0
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Netherlands,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Norway,,,,0.0,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Poland,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Portugal,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Romania,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Serbia,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Sweden,,,,304.0,238.0,179.0,198.0,153.0,93.0,758.0,763.0,778.0,833.0
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Slovenia,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Slovakia,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,Türkiye,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - general/academic,United Kingdom,,,,,32149.0,27968.0,25637.0,26823.0,27293.0,36663.0,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Albania,,,,,,,,,,,,412.0,481.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Austria,,,,7576.0,7662.0,8161.0,7933.0,8157.0,8325.0,8378.0,8307.0,9088.0,9416.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Bosnia and Herzegovina,,,,,,,,,,,,,0.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Belgium,,,,4441.0,4766.0,4741.0,4721.0,4454.0,4162.0,4072.0,4893.0,6034.0,5580.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Bulgaria,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Switzerland,,,,4537.0,4153.0,4532.0,473.0,126.0,118.0,58.0,41.0,43.0,33.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Cyprus,,,,1769.0,1440.0,1442.0,1238.0,1268.0,1260.0,1210.0,1274.0,963.0,889.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Czechia,,,,101.0,106.0,122.0,149.0,150.0,127.0,105.0,123.0,133.0,147.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Germany,,,,60.0,31.0,20.0,17.0,25.0,19.0,1298.0,1298.0,1441.0,1430.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Denmark,,,,817.0,1024.0,1048.0,940.0,730.0,763.0,729.0,655.0,664.0,625.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Estonia,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Greece,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Spain,,,,33887.0,34673.0,35389.0,34956.0,40178.0,44987.0,46465.0,51004.0,55408.0,57043.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,European Union - 27 countries (from 2020),,,,162306.0,156256.0,153105.0,151805.0,159176.0,170199.0,177350.0,188526.0,204954.0,231906.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,European Union - 28 countries (2013-2020),,,,225205.0,187175.0,192847.0,202400.0,220133.0,239513.0,265770.0,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Finland,,,,0.0,0.0,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,France,,,,96200.0,93397.0,90277.0,89989.0,90696.0,95568.0,98399.0,101769.0,108358.0,126752.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Croatia,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Hungary,,,,8151.0,3462.0,948.0,621.0,689.0,567.0,408.0,362.0,921.0,4008.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Ireland,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Iceland,,,,64.0,68.0,67.0,59.0,53.0,36.0,30.0,23.0,31.0,26.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Italy,,,,590.0,1216.0,1637.0,2176.0,2982.0,3652.0,4612.0,5256.0,6102.0,7571.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Liechtenstein,,,,,,,,,,0.0,0.0,0.0,0.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Lithuania,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Luxembourg,,,,0.0,0.0,0.0,0.0,0.0,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Latvia,,,,1996.0,1549.0,1315.0,1199.0,975.0,919.0,861.0,778.0,930.0,1133.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Montenegro,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,North Macedonia,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Malta,,,,0.0,0.0,0.0,0.0,0.0,0.0,35.0,22.0,17.0,13.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Netherlands,,,,,,793.0,718.0,766.0,1248.0,661.0,543.0,543.0,1395.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Norway,,,,1700.0,1479.0,948.0,1150.0,1122.0,1113.0,1106.0,1150.0,1325.0,1689.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Poland,,,,666.0,390.0,169.0,0.0,0.0,0.0,0.0,0.0,179.0,788.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Portugal,,,,,,22.0,390.0,767.0,1088.0,1604.0,2026.0,1992.0,1946.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Romania,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Serbia,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Sweden,,,,5551.0,6104.0,6359.0,6195.0,6745.0,6916.0,7898.0,9625.0,11589.0,12570.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Slovenia,,,,147.0,53.0,235.0,100.0,105.0,119.0,120.0,122.0,110.0,105.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Slovakia,,,,354.0,383.0,428.0,463.0,489.0,479.0,495.0,469.0,483.0,495.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,Türkiye,,,,28084.0,36133.0,51604.0,67705.0,75610.0,72726.0,73771.0,81048.0,85702.0,94395.0
Full-time,Private institutions,Females,Short-cycle tertiary education - vocational/professional,United Kingdom,,,,62899.0,30919.0,39741.0,50594.0,60957.0,69314.0,88420.0,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Austria,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Bosnia and Herzegovina,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Belgium,,,,,,,,0.0,0.0,0.0,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Bulgaria,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Switzerland,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Cyprus,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Czechia,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Germany,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Denmark,,,,,0.0,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Estonia,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Greece,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Spain,,,,,451.0,478.0,792.0,1310.0,1310.0,1883.0,1883.0,2185.0,3358.0
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,European Union - 27 countries (from 2020),,,,,33984.0,29472.0,29386.0,30678.0,9712.0,10522.0,12089.0,21157.0,28062.0
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,European Union - 28 countries (2013-2020),,,,,33984.0,49566.0,58351.0,69547.0,58715.0,77542.0,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Finland,,,,0.0,0.0,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,France,,,,21682.0,21202.0,20372.0,20579.0,20959.0,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Croatia,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Hungary,,,,8151.0,3462.0,948.0,621.0,689.0,567.0,408.0,362.0,921.0,4008.0
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Ireland,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Iceland,,,,2.0,2.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,1.0
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Italy,,,,590.0,,,,,0.0,0.0,,6102.0,7571.0
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Liechtenstein,,,,,,,,,,0.0,0.0,0.0,0.0
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Lithuania,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Luxembourg,,,,0.0,,,0.0,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Latvia,,,,1996.0,1549.0,1315.0,1199.0,975.0,919.0,861.0,778.0,930.0,1133.0
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Montenegro,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,North Macedonia,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Malta,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Netherlands,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Norway,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Poland,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Portugal,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Romania,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Serbia,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Sweden,,,,5551.0,6104.0,6359.0,6195.0,6745.0,6916.0,7370.0,9066.0,11019.0,11992.0
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Slovenia,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Slovakia,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,Türkiye,,,,,,,,,,,,,
Full-time,Private institutions,Females,Short-cycle tertiary education - school and work-based vocational programmes,United Kingdom,,,,0.0,11342.0,20094.0,28965.0,38869.0,49003.0,67020.0,,,
