age,sex,level,country,2016,2017,2018,2019,2020,2021,2022
Total,Females,Short-cycle tertiary education,Sweden,11905.0,11937.0,12574.0,15133.0,17372.0,20313.0,21168.0
Total,Females,Short-cycle tertiary education,Slovenia,4606.0,4465.0,4134.0,4071.0,4106.0,4065.0,4082.0
Total,Females,Short-cycle tertiary education,Slovakia,1767.0,1787.0,1727.0,1637.0,1547.0,1565.0,1590.0
Total,Females,Short-cycle tertiary education,Turkey,1087063.0,1220155.0,1344391.0,1418969.0,1526121.0,1608714.0,1682677.0
Total,Females,Short-cycle tertiary education,United Kingdom,172855.0,173777.0,168813.0,193369.0,,,
Total,Females,Tertiary education (levels 5-8),Albania,,,,,,74821.0,73493.0
Total,Females,Tertiary education (levels 5-8),Austria,228708.0,227452.0,227756.0,225671.0,226603.0,237796.0,239830.0
Total,Females,Tertiary education (levels 5-8),Bosnia and Herzegovina,,,54283.0,52009.0,48875.0,49218.0,47670.0
Total,Females,Tertiary education (levels 5-8),Belgium,283066.0,293031.0,286471.0,291298.0,292129.0,303932.0,309621.0
Total,Females,Tertiary education (levels 5-8),Bulgaria,143799.0,134303.0,126871.0,123952.0,122373.0,123328.0,125714.0
Total,Females,Tertiary education (levels 5-8),Switzerland,146395.0,149455.0,152824.0,156644.0,161428.0,169427.0,173987.0
Total,Females,Tertiary education (levels 5-8),Cyprus,22081.0,24432.0,25047.0,26726.0,28800.0,30073.0,31322.0
Total,Females,Tertiary education (levels 5-8),Czechia,213189.0,202484.0,187795.0,182001.0,181503.0,186580.0,192910.0
Total,Females,Tertiary education (levels 5-8),Germany,1468274.0,1499669.0,1527451.0,1597281.0,1612872.0,1663614.0,1680481.0
Total,Females,Tertiary education (levels 5-8),Denmark,177460.0,176256.0,175733.0,175038.0,175014.0,175116.0,177179.0
Total,Females,Tertiary education (levels 5-8),Estonia,29656.0,27871.0,26871.0,26696.0,26360.0,26435.0,26223.0
Total,Females,Tertiary education (levels 5-8),Greece,344203.0,356960.0,373779.0,392570.0,397526.0,418034.0,433181.0
Total,Females,Tertiary education (levels 5-8),Spain,1048608.0,1071776.0,1099212.0,1118310.0,1159927.0,1225632.0,1257052.0
Total,Females,Tertiary education (levels 5-8),European Union,9233769.0,9305536.0,9403700.0,9546380.0,9727853.0,10048160.0,9726321.0
Total,Females,Tertiary education (levels 5-8),Finland,158316.0,157046.0,156317.0,157355.0,159421.0,165295.0,172407.0
Total,Females,Tertiary education (levels 5-8),France,1349543.0,1379311.0,1426712.0,1462338.0,1508905.0,1548210.0,1597658.0
Total,Females,Tertiary education (levels 5-8),Croatia,92107.0,93750.0,94021.0,93781.0,92496.0,92388.0,92863.0
Total,Females,Tertiary education (levels 5-8),Hungary,160495.0,155706.0,152640.0,151699.0,153910.0,155183.0,160145.0
Total,Females,Tertiary education (levels 5-8),Ireland,112404.0,116073.0,120154.0,121915.0,126081.0,134275.0,134541.0
Total,Females,Tertiary education (levels 5-8),Iceland,11850.0,11447.0,11339.0,11849.0,12523.0,14505.0,14436.0
Total,Females,Tertiary education (levels 5-8),Italy,1016442.0,1021977.0,1051656.0,1074851.0,1132957.0,1171941.0,1205249.0
Total,Females,Tertiary education (levels 5-8),Liechtenstein,274.0,302.0,304.0,335.0,346.0,384.0,388.0
Total,Females,Tertiary education (levels 5-8),Lithuania,76071.0,71164.0,66746.0,63442.0,60965.0,60867.0,60798.0
Total,Females,Tertiary education (levels 5-8),Luxembourg,3545.0,3590.0,3658.0,3702.0,3933.0,4072.0,4138.0
Total,Females,Tertiary education (levels 5-8),Latvia,49812.0,48013.0,47400.0,45194.0,44275.0,44263.0,44695.0
Total,Females,Tertiary education (levels 5-8),Montenegro,13257.0,13609.0,13219.0,12549.0,12769.0,12689.0,
Total,Females,Tertiary education (levels 5-8),North Macedonia,34730.0,34191.0,33358.0,32023.0,32025.0,32009.0,32559.0
Total,Females,Tertiary education (levels 5-8),Malta,7505.0,8112.0,8702.0,9345.0,9933.0,10839.0,11054.0
Total,Females,Tertiary education (levels 5-8),Netherlands,434637.0,457757.0,463184.0,476034.0,493008.0,523188.0,
Total,Females,Tertiary education (levels 5-8),Norway,161378.0,165495.0,167640.0,168431.0,171455.0,182085.0,187738.0
Total,Females,Tertiary education (levels 5-8),Poland,944675.0,915380.0,884759.0,851706.0,819825.0,795826.0,815096.0
Total,Females,Tertiary education (levels 5-8),Portugal,182061.0,184701.0,190586.0,198031.0,204522.0,216232.0,223626.0
Total,Females,Tertiary education (levels 5-8),Romania,288432.0,286636.0,291843.0,290865.0,296622.0,308222.0,307677.0
Total,Females,Tertiary education (levels 5-8),Serbia,138971.0,146902.0,144871.0,141679.0,137910.0,139427.0,141371.0
Total,Females,Tertiary education (levels 5-8),Sweden,253070.0,253884.0,259086.0,259820.0,272885.0,296817.0,293253.0
Total,Females,Tertiary education (levels 5-8),Slovenia,46562.0,45749.0,44044.0,43803.0,43976.0,47702.0,47134.0
Total,Females,Tertiary education (levels 5-8),Slovakia,99048.0,92454.0,85206.0,82956.0,81031.0,82300.0,82474.0
Total,Females,Tertiary education (levels 5-8),Turkey,3067668.0,3312880.0,3513069.0,3694418.0,3850696.0,4070584.0,4124812.0
Total,Females,Tertiary education (levels 5-8),United Kingdom,1342242.0,1378588.0,1402359.0,1490076.0,,,
Total,Females,Short-cycle tertiary education - general/academic,Albania,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Austria,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Bosnia and Herzegovina,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Belgium,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Bulgaria,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Switzerland,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Cyprus,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Czechia,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Germany,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Denmark,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Estonia,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Greece,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Spain,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,European Union,2418.0,1993.0,1719.0,2260.0,2462.0,2433.0,2333.0
Total,Females,Short-cycle tertiary education - general/academic,Finland,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,France,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Croatia,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Hungary,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Ireland,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Iceland,136.0,141.0,127.0,192.0,286.0,332.0,243.0
Total,Females,Short-cycle tertiary education - general/academic,Italy,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Liechtenstein,,,,0.0,0.0,0.0,0.0
Total,Females,Short-cycle tertiary education - general/academic,Lithuania,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Luxembourg,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Latvia,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Montenegro,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,North Macedonia,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Malta,574.0,535.0,623.0,605.0,735.0,731.0,688.0
Total,Females,Short-cycle tertiary education - general/academic,Netherlands,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Norway,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Poland,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Portugal,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Romania,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Serbia,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Sweden,1844.0,1458.0,1096.0,1655.0,1727.0,1702.0,1646.0
Total,Females,Short-cycle tertiary education - general/academic,Slovenia,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Slovakia,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,Turkey,,,,,,,
Total,Females,Short-cycle tertiary education - general/academic,United Kingdom,107017.0,98038.0,89643.0,95432.0,,,
Total,Females,Short-cycle tertiary education - vocational/professional,Albania,,,,,,2185.0,2561.0
Total,Females,Short-cycle tertiary education - vocational/professional,Austria,41271.0,40562.0,40188.0,39272.0,38738.0,39989.0,40489.0
Total,Females,Short-cycle tertiary education - vocational/professional,Bosnia and Herzegovina,,,,,,,28.0
Total,Females,Short-cycle tertiary education - vocational/professional,Belgium,15351.0,14696.0,13850.0,13390.0,12400.0,14159.0,14283.0
Total,Females,Short-cycle tertiary education - vocational/professional,Bulgaria,,,,,,,
Total,Females,Short-cycle tertiary education - vocational/professional,Switzerland,2755.0,2639.0,2603.0,2528.0,2399.0,2036.0,2105.0
Total,Females,Short-cycle tertiary education - vocational/professional,Cyprus,1454.0,1462.0,1536.0,1583.0,1661.0,1280.0,1203.0
Total,Females,Short-cycle tertiary education - vocational/professional,Czechia,597.0,634.0,628.0,632.0,628.0,654.0,679.0
Total,Females,Short-cycle tertiary education - vocational/professional,Germany,215.0,218.0,226.0,4650.0,4572.0,5115.0,5235.0
Total,Females,Short-cycle tertiary education - vocational/professional,Denmark,16316.0,16695.0,16458.0,16221.0,16178.0,16363.0,17286.0
Total,Females,Short-cycle tertiary education - vocational/professional,Estonia,,,,,,,
Total,Females,Short-cycle tertiary education - vocational/professional,Greece,,,,,,,
Total,Females,Short-cycle tertiary education - vocational/professional,Spain,177052.0,187230.0,197924.0,206726.0,224438.0,254697.0,270288.0
Total,Females,Short-cycle tertiary education - vocational/professional,European Union,545678.0,561128.0,569711.0,600389.0,627087.0,674713.0,690861.0
Total,Females,Short-cycle tertiary education - vocational/professional,Finland,,,,,,,
Total,Females,Short-cycle tertiary education - vocational/professional,France,243182.0,244610.0,241586.0,257740.0,261852.0,269524.0,260858.0
Total,Females,Short-cycle tertiary education - vocational/professional,Croatia,49.0,38.0,11.0,5.0,3.0,1.0,1.0
Total,Females,Short-cycle tertiary education - vocational/professional,Hungary,7492.0,8426.0,7540.0,6556.0,6540.0,6694.0,6750.0
Total,Females,Short-cycle tertiary education - vocational/professional,Ireland,,,,,,,
Total,Females,Short-cycle tertiary education - vocational/professional,Iceland,117.0,155.0,143.0,158.0,208.0,147.0,153.0
Total,Females,Short-cycle tertiary education - vocational/professional,Italy,2176.0,2982.0,3652.0,4612.0,5256.0,6102.0,7571.0
Total,Females,Short-cycle tertiary education - vocational/professional,Liechtenstein,,,,0.0,0.0,0.0,0.0
Total,Females,Short-cycle tertiary education - vocational/professional,Lithuania,,,,,,,
Total,Females,Short-cycle tertiary education - vocational/professional,Luxembourg,355.0,427.0,435.0,455.0,450.0,505.0,482.0
Total,Females,Short-cycle tertiary education - vocational/professional,Latvia,9058.0,8463.0,8926.0,9026.0,8705.0,8960.0,9425.0
Total,Females,Short-cycle tertiary education - vocational/professional,Montenegro,,,,,,,
Total,Females,Short-cycle tertiary education - vocational/professional,North Macedonia,,,,,,,
Total,Females,Short-cycle tertiary education - vocational/professional,Malta,606.0,592.0,786.0,775.0,706.0,908.0,746.0
Total,Females,Short-cycle tertiary education - vocational/professional,Netherlands,11496.0,13021.0,13677.0,13587.0,16741.0,18401.0,22376.0
Total,Females,Short-cycle tertiary education - vocational/professional,Norway,1515.0,1451.0,1478.0,1561.0,1669.0,1966.0,2448.0
Total,Females,Short-cycle tertiary education - vocational/professional,Poland,268.0,176.0,196.0,180.0,165.0,376.0,980.0
Total,Females,Short-cycle tertiary education - vocational/professional,Portugal,2306.0,4165.0,4753.0,5794.0,6756.0,6745.0,7015.0
Total,Females,Short-cycle tertiary education - vocational/professional,Romania,,,,,,,
Total,Females,Short-cycle tertiary education - vocational/professional,Serbia,,,,,,,
Total,Females,Short-cycle tertiary education - vocational/professional,Sweden,10061.0,10479.0,11478.0,13478.0,15645.0,18611.0,19522.0
Total,Females,Short-cycle tertiary education - vocational/professional,Slovenia,4606.0,4465.0,4134.0,4071.0,4106.0,4065.0,4082.0
Total,Females,Short-cycle tertiary education - vocational/professional,Slovakia,1767.0,1787.0,1727.0,1637.0,1547.0,1565.0,1590.0
Total,Females,Short-cycle tertiary education - vocational/professional,Turkey,1087063.0,1220155.0,1344391.0,1418969.0,1526121.0,1608714.0,1682677.0
Total,Females,Short-cycle tertiary education - vocational/professional,United Kingdom,65838.0,75739.0,79170.0,97937.0,,,
Total,Females,Bachelor's or equivalent level,Albania,,,,,,43787.0,41492.0
Total,Females,Bachelor's or equivalent level,Austria,101469.0,103059.0,105293.0,105950.0,106078.0,111123.0,109724.0
Total,Females,Bachelor's or equivalent level,Bosnia and Herzegovina,,,41087.0,37798.0,34252.0,33736.0,32400.0
Total,Females,Bachelor's or equivalent level,Belgium,206859.0,215156.0,208652.0,212275.0,209774.0,215192.0,217292.0
Total,Females,Bachelor's or equivalent level,Bulgaria,92906.0,86063.0,80474.0,77815.0,76659.0,76975.0,77558.0
Total,Females,Bachelor's or equivalent level,Switzerland,98382.0,100351.0,102457.0,104972.0,107409.0,112292.0,114021.0
Total,Females,Bachelor's or equivalent level,Cyprus,10202.0,10527.0,10549.0,10619.0,11013.0,10489.0,11018.0
Total,Females,Bachelor's or equivalent level,Czechia,126842.0,117915.0,110174.0,106363.0,107858.0,111772.0,115882.0
Total,Females,Bachelor's or equivalent level,Germany,841674.0,862614.0,875203.0,926348.0,935194.0,959014.0,958287.0
Total,Females,Bachelor's or equivalent level,Denmark,114179.0,114804.0,115155.0,114984.0,115286.0,114734.0,116045.0
Total,Females,Bachelor's or equivalent level,Estonia,18755.0,17206.0,16402.0,16066.0,15619.0,15553.0,15387.0
Total,Females,Bachelor's or equivalent level,Greece,295771.0,300205.0,312706.0,327096.0,332189.0,343519.0,352978.0
Total,Females,Bachelor's or equivalent level,Spain,652643.0,656390.0,659866.0,663905.0,672116.0,699090.0,701075.0
Total,Females,Bachelor's or equivalent level,European Union,5531481.0,5552630.0,5573665.0,5658251.0,5742675.0,5914438.0,6014361.0
Total,Females,Bachelor's or equivalent level,Finland,111744.0,109265.0,106625.0,105975.0,106643.0,110129.0,114306.0
Total,Females,Bachelor's or equivalent level,France,596684.0,609995.0,625091.0,642678.0,670271.0,719466.0,761175.0
Total,Females,Bachelor's or equivalent level,Croatia,52725.0,52841.0,52332.0,51252.0,50077.0,49409.0,49101.0
Total,Females,Bachelor's or equivalent level,Hungary,105651.0,98565.0,96140.0,95729.0,97746.0,97253.0,99787.0
Total,Females,Bachelor's or equivalent level,Ireland,82915.0,84591.0,86980.0,86879.0,88193.0,93324.0,94617.0
Total,Females,Bachelor's or equivalent level,Iceland,8115.0,7854.0,7634.0,7894.0,8286.0,9536.0,9516.0
Total,Females,Bachelor's or equivalent level,Italy,581386.0,592866.0,612887.0,626170.0,667306.0,675634.0,694317.0
Total,Females,Bachelor's or equivalent level,Liechtenstein,143.0,167.0,174.0,201.0,198.0,209.0,203.0
Total,Females,Bachelor's or equivalent level,Lithuania,56031.0,52091.0,47947.0,44676.0,42296.0,41829.0,41610.0
Total,Females,Bachelor's or equivalent level,Luxembourg,1637.0,1629.0,1614.0,1578.0,1657.0,1665.0,1746.0
Total,Females,Bachelor's or equivalent level,Latvia,27984.0,26862.0,25517.0,23822.0,23255.0,22953.0,23241.0
Total,Females,Bachelor's or equivalent level,Montenegro,12574.0,12704.0,12364.0,11675.0,11312.0,10590.0,
Total,Females,Bachelor's or equivalent level,North Macedonia,32837.0,32297.0,31669.0,30352.0,29515.0,29482.0,29858.0
Total,Females,Bachelor's or equivalent level,Malta,4330.0,4515.0,4571.0,4860.0,4993.0,5317.0,5633.0
Total,Females,Bachelor's or equivalent level,Netherlands,328138.0,339801.0,343909.0,354980.0,361860.0,384205.0,383336.0
Total,Females,Bachelor's or equivalent level,Norway,119339.0,121685.0,120165.0,117615.0,116256.0,119413.0,120138.0
Total,Females,Bachelor's or equivalent level,Poland,595857.0,578737.0,557156.0,539909.0,512805.0,490241.0,498985.0
Total,Females,Bachelor's or equivalent level,Portugal,108919.0,109071.0,112049.0,114441.0,118268.0,125700.0,137088.0
Total,Females,Bachelor's or equivalent level,Romania,181707.0,179382.0,181573.0,179418.0,181684.0,187871.0,188491.0
Total,Females,Bachelor's or equivalent level,Serbia,108821.0,112696.0,109284.0,105933.0,101842.0,100893.0,101099.0
Total,Females,Bachelor's or equivalent level,Sweden,153574.0,152752.0,154338.0,155545.0,164124.0,177134.0,170626.0
Total,Females,Bachelor's or equivalent level,Slovenia,26606.0,25977.0,24628.0,24547.0,24753.0,27212.0,26807.0
Total,Females,Bachelor's or equivalent level,Slovakia,54293.0,49751.0,45834.0,44371.0,44958.0,47634.0,48249.0
Total,Females,Bachelor's or equivalent level,Turkey,1722579.0,1809975.0,1883795.0,1969082.0,2039744.0,2135940.0,2117388.0
Total,Females,Bachelor's or equivalent level,United Kingdom,868362.0,890127.0,906452.0,946044.0,,,
Total,Females,Bachelor's or equivalent level - academic,Albania,,,,,,,
Total,Females,Bachelor's or equivalent level - academic,Austria,,,,105950.0,106078.0,111123.0,109724.0
Total,Females,Bachelor's or equivalent level - academic,Bosnia and Herzegovina,,,,,,,
Total,Females,Bachelor's or equivalent level - academic,Belgium,69212.0,72024.0,72132.0,77045.0,76715.0,80856.0,84198.0
Total,Females,Bachelor's or equivalent level - academic,Bulgaria,,,,,,,
Total,Females,Bachelor's or equivalent level - academic,Switzerland,77612.0,79127.0,80100.0,81722.0,83599.0,87928.0,89099.0
Total,Females,Bachelor's or equivalent level - academic,Cyprus,,,,,,,
Total,Females,Bachelor's or equivalent level - academic,Czechia,108824.0,101981.0,95710.0,92920.0,94471.0,97878.0,100461.0
Total,Females,Bachelor's or equivalent level - academic,Germany,735227.0,760231.0,773348.0,781896.0,794002.0,815151.0,810103.0
Total,Females,Bachelor's or equivalent level - academic,Denmark,43136.0,42032.0,41709.0,41719.0,41475.0,42245.0,41708.0
Total,Females,Bachelor's or equivalent level - academic,Estonia,,,,,,,
Total,Females,Bachelor's or equivalent level - academic,Greece,203878.0,210796.0,219965.0,250848.0,270578.0,283179.0,291895.0
Total,Females,Bachelor's or equivalent level - academic,Spain,,,,,,,
Total,Females,Bachelor's or equivalent level - academic,Finland,,,,,,,
Total,Females,Bachelor's or equivalent level - academic,France,408983.0,421769.0,430286.0,442275.0,459197.0,508221.0,510436.0
Total,Females,Bachelor's or equivalent level - academic,Croatia,31984.0,32593.0,32248.0,31392.0,30464.0,30270.0,30671.0
Total,Females,Bachelor's or equivalent level - academic,Hungary,,,,,,,
Total,Females,Bachelor's or equivalent level - academic,Ireland,,,,,,,
Total,Females,Bachelor's or equivalent level - academic,Iceland,,,,,,,
Total,Females,Bachelor's or equivalent level - academic,Italy,,,,,,,
Total,Females,Bachelor's or equivalent level - academic,Liechtenstein,143.0,167.0,174.0,201.0,198.0,209.0,203.0
Total,Females,Bachelor's or equivalent level - academic,Lithuania,34382.0,31582.0,28471.0,25623.0,23472.0,23030.0,22947.0
Total,Females,Bachelor's or equivalent level - academic,Luxembourg,968.0,933.0,971.0,917.0,962.0,941.0,947.0
Total,Females,Bachelor's or equivalent level - academic,Latvia,9122.0,8834.0,8806.0,8645.0,9058.0,9698.0,10282.0
Total,Females,Bachelor's or equivalent level - academic,Montenegro,10871.0,10947.0,10733.0,10280.0,9970.0,9237.0,
Total,Females,Bachelor's or equivalent level - academic,North Macedonia,28077.0,31069.0,25561.0,22515.0,24054.0,24993.0,25342.0
Total,Females,Bachelor's or equivalent level - academic,Malta,,,,,,3294.0,3617.0
Total,Females,Bachelor's or equivalent level - academic,Netherlands,,,,108990.0,114253.0,122808.0,125517.0
Total,Females,Bachelor's or equivalent level - academic,Norway,119339.0,121685.0,120165.0,117615.0,116256.0,119413.0,120138.0
Total,Females,Bachelor's or equivalent level - academic,Poland,,,,,380599.0,364343.0,363045.0
Total,Females,Bachelor's or equivalent level - academic,Portugal,,,,,,,
Total,Females,Bachelor's or equivalent level - academic,Romania,,,,,,,
Total,Females,Bachelor's or equivalent level - academic,Serbia,84822.0,89586.0,87226.0,85591.0,83275.0,82528.0,82132.0
Total,Females,Bachelor's or equivalent level - academic,Sweden,,,,,,,
Total,Females,Bachelor's or equivalent level - academic,Slovenia,15200.0,14750.0,13706.0,13618.0,13519.0,14691.0,14361.0
Total,Females,Bachelor's or equivalent level - academic,Slovakia,,,,,,,
Total,Females,Bachelor's or equivalent level - academic,Turkey,,,,,,,
Total,Females,Bachelor's or equivalent level - academic,United Kingdom,868362.0,890127.0,906452.0,946044.0,,,
Total,Females,Bachelor's or equivalent level - professional,Albania,,,,,,,
Total,Females,Bachelor's or equivalent level - professional,Austria,,,,,,,
Total,Females,Bachelor's or equivalent level - professional,Bosnia and Herzegovina,,,,,,,
Total,Females,Bachelor's or equivalent level - professional,Belgium,137647.0,143132.0,136520.0,135230.0,133059.0,134336.0,133094.0
Total,Females,Bachelor's or equivalent level - professional,Bulgaria,6016.0,5417.0,4508.0,4370.0,4257.0,4175.0,4252.0
Total,Females,Bachelor's or equivalent level - professional,Switzerland,20770.0,21224.0,22357.0,23250.0,23810.0,24364.0,24922.0
Total,Females,Bachelor's or equivalent level - professional,Cyprus,,,,,,,
Total,Females,Bachelor's or equivalent level - professional,Czechia,18018.0,15934.0,14464.0,13443.0,13387.0,13894.0,15421.0
Total,Females,Bachelor's or equivalent level - professional,Germany,106447.0,102383.0,101855.0,144452.0,141192.0,143863.0,148184.0
Total,Females,Bachelor's or equivalent level - professional,Denmark,71043.0,72772.0,73446.0,73265.0,73811.0,72489.0,74337.0
Total,Females,Bachelor's or equivalent level - professional,Estonia,,,,,,,
Total,Females,Bachelor's or equivalent level - professional,Greece,91893.0,89409.0,92741.0,76248.0,61611.0,60340.0,61083.0
Total,Females,Bachelor's or equivalent level - professional,Spain,,,,,,,
Total,Females,Bachelor's or equivalent level - professional,Finland,,,,,,,
Total,Females,Bachelor's or equivalent level - professional,France,187701.0,188226.0,194805.0,198177.0,208573.0,210809.0,249567.0
Total,Females,Bachelor's or equivalent level - professional,Croatia,20741.0,20248.0,20084.0,19860.0,19613.0,19139.0,18430.0
Total,Females,Bachelor's or equivalent level - professional,Hungary,,,,,,,
Total,Females,Bachelor's or equivalent level - professional,Ireland,,,,,,,
Total,Females,Bachelor's or equivalent level - professional,Iceland,,,,,,,
Total,Females,Bachelor's or equivalent level - professional,Italy,,,,,,,
Total,Females,Bachelor's or equivalent level - professional,Liechtenstein,,,,0.0,0.0,0.0,0.0
Total,Females,Bachelor's or equivalent level - professional,Lithuania,21649.0,20509.0,19476.0,19053.0,18824.0,18799.0,18663.0
Total,Females,Bachelor's or equivalent level - professional,Luxembourg,669.0,696.0,643.0,661.0,695.0,724.0,799.0
Total,Females,Bachelor's or equivalent level - professional,Latvia,18862.0,18028.0,16711.0,15177.0,14197.0,13255.0,12959.0
Total,Females,Bachelor's or equivalent level - professional,Montenegro,1703.0,1757.0,1631.0,1395.0,1342.0,1353.0,
Total,Females,Bachelor's or equivalent level - professional,North Macedonia,4760.0,1228.0,6108.0,7837.0,5461.0,4489.0,4516.0
Total,Females,Bachelor's or equivalent level - professional,Malta,,,,,,2024.0,2016.0
Total,Females,Bachelor's or equivalent level - professional,Netherlands,,,,245990.0,247607.0,261397.0,257819.0
Total,Females,Bachelor's or equivalent level - professional,Norway,,,,,,,
Total,Females,Bachelor's or equivalent level - professional,Poland,,,,,132206.0,125898.0,135940.0
Total,Females,Bachelor's or equivalent level - professional,Portugal,,,,,,,
Total,Females,Bachelor's or equivalent level - professional,Romania,,,,,,,
Total,Females,Bachelor's or equivalent level - professional,Serbia,23999.0,23110.0,22058.0,20342.0,18567.0,18365.0,18967.0
Total,Females,Bachelor's or equivalent level - professional,Sweden,,,,,,,
Total,Females,Bachelor's or equivalent level - professional,Slovenia,11406.0,11227.0,10922.0,10929.0,11234.0,12521.0,12446.0
Total,Females,Bachelor's or equivalent level - professional,Slovakia,,,,,,,
Total,Females,Bachelor's or equivalent level - professional,Turkey,,,,,,,
Total,Females,Bachelor's or equivalent level - professional,United Kingdom,,,,,,,
Total,Females,Master's or equivalent level,Albania,,,,,,27621.0,29159.0
Total,Females,Master's or equivalent level,Austria,75091.0,73316.0,72990.0,71644.0,73173.0,77786.0,80490.0
