sex,age,icd10,resid,country,2016,2017,2018,2019,2020,2021,2022,2023
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Italy,14401.0,16403.0,16460.0,17372.0,18121.0,16951.0,18835.0,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Liechtenstein,2.0,1.0,3.0,1.0,11.0,13.0,10.0,13.0
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Lithuania,100.0,191.0,189.0,199.0,253.0,308.0,321.0,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Luxembourg,136.0,143.0,161.0,169.0,186.0,182.0,182.0,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Latvia,254.0,302.0,367.0,354.0,413.0,439.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Malta,100.0,126.0,165.0,154.0,217.0,226.0,214.0,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Netherlands,7792.0,8210.0,8382.0,8074.0,7320.0,7480.0,8298.0,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Norway,1836.0,2012.0,2098.0,2056.0,2033.0,2080.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Poland,715.0,873.0,829.0,807.0,885.0,1612.0,2082.0,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Portugal,2265.0,2512.0,3076.0,3607.0,4101.0,3850.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Romania,92.0,86.0,90.0,103.0,130.0,124.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Serbia,782.0,819.0,786.0,811.0,854.0,910.0,916.0,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Sweden,4174.0,4236.0,4318.0,4127.0,4136.0,3617.0,3870.0,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Slovenia,43.0,71.0,70.0,75.0,74.0,74.0,99.0,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Slovakia,511.0,397.0,423.0,415.0,402.0,222.0,216.0,31.0
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,Türkiye,287.0,280.0,267.0,198.0,183.0,259.0,208.0,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths reported in the country,United Kingdom,35339.0,36541.0,36222.0,,,,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Austria,1160.0,1827.0,2002.0,1977.0,1842.0,2042.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Belgium,3322.0,3548.0,3485.0,3670.0,3520.0,2971.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Bulgaria,40.0,34.0,35.0,40.0,58.0,51.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Switzerland,3344.0,3771.0,3790.0,3848.0,3787.0,3442.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Cyprus,107.0,117.0,164.0,179.0,155.0,194.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Czechia,819.0,1049.0,989.0,1082.0,1208.0,1221.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Germany,28198.0,32653.0,36342.0,36085.0,36935.0,37159.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Denmark,2049.0,2186.0,2298.0,2130.0,2067.0,2179.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Estonia,45.0,68.0,62.0,100.0,109.0,104.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Greece,896.0,1181.0,1178.0,1443.0,1656.0,1964.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Spain,13824.0,14309.0,14765.0,15015.0,14542.0,13378.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,European Union - 27 countries (from 2020),102079.0,111954.0,118788.0,120425.0,120006.0,117465.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,European Union - 28 countries (2013-2020),137418.0,148502.0,155010.0,,,,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Finland,1497.0,1439.0,1608.0,1527.0,1663.0,1783.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,France,15749.0,15703.0,16918.0,16891.0,15455.0,14566.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Croatia,653.0,728.0,730.0,758.0,698.0,990.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Hungary,2070.0,2415.0,2492.0,2880.0,2807.0,2576.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Ireland,1075.0,1165.0,1194.0,1216.0,1083.0,1198.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Iceland,37.0,48.0,54.0,57.0,64.0,62.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Italy,14380.0,16376.0,16448.0,17341.0,18077.0,16941.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Liechtenstein,2.0,2.0,3.0,1.0,13.0,14.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Lithuania,100.0,192.0,189.0,198.0,253.0,308.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Luxembourg,138.0,144.0,159.0,169.0,188.0,183.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Latvia,254.0,302.0,367.0,354.0,413.0,439.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Malta,100.0,126.0,164.0,154.0,217.0,226.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Netherlands,7786.0,8211.0,8382.0,8072.0,7313.0,7477.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Norway,1836.0,2013.0,2099.0,2056.0,2031.0,2079.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Poland,723.0,876.0,835.0,804.0,890.0,1613.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Portugal,2265.0,2510.0,3075.0,3610.0,4101.0,3850.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Romania,93.0,87.0,93.0,106.0,131.0,127.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Serbia,782.0,819.0,786.0,811.0,855.0,910.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Sweden,4174.0,4236.0,4316.0,4127.0,4136.0,3616.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Slovenia,49.0,74.0,75.0,81.0,87.0,85.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Slovakia,513.0,398.0,423.0,416.0,402.0,224.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,Türkiye,287.0,278.0,267.0,199.0,183.0,259.0,,
Females,Total,Mental and behavioural disorders (F00-F99),All deaths of residents in or outside their home country,United Kingdom,35339.0,36548.0,36222.0,,,,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Austria,87.0,104.0,123.0,104.0,108.0,143.0,135.0,144.0
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Belgium,99.0,112.0,90.0,93.0,111.0,79.0,103.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Bulgaria,1.0,3.0,3.0,3.0,6.0,9.0,1.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Switzerland,52.0,48.0,63.0,44.0,58.0,42.0,59.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Cyprus,,0.0,2.0,1.0,1.0,1.0,0.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Czechia,22.0,22.0,25.0,34.0,40.0,38.0,48.0,46.0
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Germany,1147.0,1082.0,1113.0,1048.0,1164.0,1123.0,1212.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Denmark,165.0,126.0,105.0,105.0,119.0,115.0,113.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Estonia,9.0,9.0,7.0,7.0,21.0,12.0,11.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Greece,4.0,9.0,5.0,3.0,12.0,5.0,8.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Spain,34.0,34.0,29.0,18.0,29.0,26.0,45.0,42.0
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,European Union - 27 countries (from 2020),2947.0,2913.0,2961.0,2981.0,3145.0,3026.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,European Union - 28 countries (2013-2020),3198.0,3201.0,3271.0,,,,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Finland,42.0,46.0,50.0,50.0,42.0,42.0,54.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,France,538.0,480.0,549.0,509.0,423.0,493.0,580.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Metropolitan France,530.0,472.0,531.0,499.0,409.0,482.0,569.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Croatia,23.0,22.0,17.0,43.0,37.0,28.0,34.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Hungary,52.0,51.0,67.0,70.0,64.0,59.0,64.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Ireland,6.0,7.0,1.0,4.0,6.0,6.0,14.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Iceland,2.0,1.0,0.0,2.0,0.0,1.0,2.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Italy,43.0,40.0,45.0,48.0,48.0,55.0,44.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Liechtenstein,,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Lithuania,2.0,3.0,1.0,2.0,4.0,4.0,2.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Luxembourg,5.0,8.0,9.0,6.0,9.0,4.0,8.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Latvia,16.0,19.0,21.0,17.0,22.0,51.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Malta,,0.0,2.0,0.0,0.0,1.0,2.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Netherlands,126.0,120.0,126.0,115.0,105.0,115.0,123.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Norway,24.0,28.0,35.0,21.0,29.0,35.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Poland,372.0,419.0,410.0,484.0,575.0,420.0,474.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Portugal,11.0,14.0,8.0,12.0,15.0,11.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Romania,40.0,34.0,25.0,44.0,41.0,31.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Serbia,18.0,18.0,21.0,24.0,22.0,18.0,52.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Sweden,44.0,64.0,48.0,59.0,66.0,76.0,66.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Slovenia,39.0,63.0,63.0,67.0,63.0,66.0,82.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Slovakia,20.0,22.0,17.0,35.0,14.0,13.0,14.0,6.0
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,Türkiye,1.0,1.0,1.0,2.0,0.0,2.0,0.0,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths reported in the country,United Kingdom,251.0,288.0,310.0,,,,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Austria,87.0,105.0,123.0,106.0,107.0,141.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Belgium,98.0,112.0,88.0,92.0,111.0,79.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Bulgaria,1.0,3.0,3.0,3.0,6.0,9.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Switzerland,52.0,48.0,62.0,44.0,58.0,42.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Cyprus,,0.0,2.0,1.0,1.0,1.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Czechia,22.0,23.0,25.0,33.0,39.0,37.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Germany,1143.0,1081.0,1111.0,1046.0,1163.0,1123.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Denmark,165.0,126.0,105.0,105.0,119.0,115.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Estonia,9.0,9.0,6.0,6.0,21.0,12.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Greece,4.0,7.0,5.0,3.0,12.0,5.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Spain,33.0,34.0,29.0,18.0,29.0,26.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,European Union - 27 countries (from 2020),2944.0,2910.0,2958.0,2978.0,3143.0,3021.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,European Union - 28 countries (2013-2020),3194.0,3197.0,3268.0,,,,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Finland,42.0,46.0,51.0,50.0,42.0,42.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,France,539.0,480.0,548.0,511.0,423.0,492.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Croatia,22.0,22.0,17.0,42.0,37.0,29.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Hungary,52.0,51.0,66.0,70.0,64.0,59.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Ireland,6.0,7.0,1.0,4.0,6.0,6.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Iceland,3.0,1.0,0.0,2.0,0.0,1.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Italy,42.0,38.0,46.0,47.0,48.0,55.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Liechtenstein,,0.0,0.0,0.0,0.0,1.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Lithuania,2.0,3.0,1.0,2.0,4.0,4.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Luxembourg,5.0,9.0,9.0,6.0,9.0,4.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Latvia,16.0,19.0,21.0,17.0,22.0,51.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Malta,,0.0,1.0,0.0,0.0,1.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Netherlands,125.0,119.0,127.0,114.0,104.0,112.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Norway,24.0,28.0,35.0,21.0,29.0,35.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Poland,377.0,419.0,412.0,484.0,577.0,421.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Portugal,11.0,14.0,8.0,12.0,15.0,11.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Romania,40.0,34.0,25.0,44.0,41.0,31.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Serbia,18.0,18.0,21.0,24.0,22.0,18.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Sweden,44.0,64.0,48.0,59.0,66.0,76.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Slovenia,39.0,63.0,63.0,67.0,63.0,66.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Slovakia,20.0,22.0,17.0,36.0,14.0,13.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,Türkiye,1.0,1.0,1.0,2.0,0.0,2.0,,
Females,Total,Mental and behavioural disorders due to use of alcohol,All deaths of residents in or outside their home country,United Kingdom,250.0,287.0,310.0,,,,,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Austria,19.0,18.0,18.0,34.0,27.0,36.0,44.0,45.0
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Belgium,226.0,252.0,232.0,228.0,238.0,215.0,245.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Bulgaria,15.0,12.0,11.0,18.0,13.0,13.0,14.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Switzerland,284.0,310.0,330.0,313.0,285.0,257.0,313.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Cyprus,4.0,2.0,6.0,6.0,11.0,11.0,11.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Czechia,25.0,33.0,25.0,25.0,39.0,43.0,33.0,33.0
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Germany,948.0,1292.0,1197.0,1191.0,1439.0,1567.0,1759.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Denmark,80.0,96.0,97.0,84.0,106.0,126.0,164.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Estonia,7.0,7.0,4.0,8.0,6.0,11.0,16.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Greece,62.0,92.0,98.0,118.0,173.0,203.0,271.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Spain,310.0,254.0,252.0,276.0,314.0,306.0,307.0,284.0
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,European Union - 27 countries (from 2020),5515.0,5959.0,6056.0,6207.0,6997.0,7155.0,,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,European Union - 28 countries (2013-2020),5852.0,6273.0,6403.0,,,,,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Finland,84.0,84.0,111.0,102.0,116.0,124.0,143.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,France,1961.0,1998.0,2151.0,2195.0,2292.0,2117.0,2342.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Metropolitan France,1928.0,1967.0,2127.0,2163.0,2255.0,2089.0,2310.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Croatia,269.0,234.0,231.0,257.0,224.0,229.0,257.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Hungary,117.0,119.0,132.0,145.0,197.0,168.0,137.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Ireland,25.0,25.0,25.0,23.0,23.0,31.0,38.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Iceland,,6.0,3.0,3.0,3.0,6.0,7.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Italy,714.0,779.0,828.0,818.0,1018.0,985.0,1186.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Liechtenstein,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Lithuania,8.0,5.0,10.0,12.0,15.0,13.0,13.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Luxembourg,8.0,6.0,10.0,11.0,5.0,9.0,9.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Latvia,7.0,8.0,15.0,4.0,13.0,18.0,,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Malta,,0.0,2.0,2.0,0.0,3.0,0.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Netherlands,321.0,347.0,276.0,325.0,352.0,396.0,410.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Norway,83.0,102.0,56.0,62.0,74.0,90.0,,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Poland,38.0,26.0,35.0,39.0,36.0,221.0,161.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Portugal,69.0,52.0,82.0,104.0,119.0,104.0,,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Romania,52.0,51.0,65.0,57.0,87.0,90.0,,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Serbia,213.0,249.0,246.0,272.0,305.0,332.0,301.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Sweden,136.0,152.0,127.0,108.0,125.0,104.0,134.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Slovenia,3.0,7.0,3.0,8.0,6.0,6.0,11.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Slovakia,7.0,8.0,13.0,9.0,3.0,6.0,3.0,2.0
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,Türkiye,171.0,146.0,135.0,87.0,109.0,132.0,132.0,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths reported in the country,United Kingdom,337.0,314.0,347.0,,,,,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths of residents in or outside their home country,Austria,19.0,17.0,17.0,35.0,27.0,36.0,,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths of residents in or outside their home country,Belgium,225.0,252.0,233.0,227.0,237.0,214.0,,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths of residents in or outside their home country,Bulgaria,15.0,12.0,11.0,18.0,13.0,13.0,,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths of residents in or outside their home country,Switzerland,283.0,305.0,330.0,309.0,285.0,253.0,,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths of residents in or outside their home country,Cyprus,3.0,2.0,6.0,6.0,11.0,11.0,,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths of residents in or outside their home country,Czechia,25.0,33.0,25.0,25.0,40.0,43.0,,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths of residents in or outside their home country,Germany,947.0,1293.0,1197.0,1190.0,1438.0,1566.0,,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths of residents in or outside their home country,Denmark,80.0,96.0,97.0,84.0,106.0,126.0,,
Females,Total,Other mental and behavioural disorders (remainder of F00-F99),All deaths of residents in or outside their home country,Estonia,7.0,7.0,4.0,8.0,6.0,11.0,,
