unit,sector,cofog99,country,2018,2019,2020,2021,2022
Million euro,General government,Housing and community amenities,Norway,2916.0,2984.0,2927.0,3000.0,3554.0
Million euro,General government,Housing and community amenities,Poland,2945.0,2892.0,2547.0,2679.0,3276.0
Million euro,General government,Housing and community amenities,Portugal,944.0,971.0,1124.0,1263.0,1314.0
Million euro,General government,Housing and community amenities,Romania,1937.0,2500.0,2583.0,2840.0,3399.0
Million euro,General government,Housing and community amenities,Sweden,3498.0,3377.0,3547.0,3642.0,3978.0
Million euro,General government,Housing and community amenities,Slovenia,205.0,201.0,273.0,279.0,272.0
Million euro,General government,Housing and community amenities,Slovakia,462.0,487.0,452.0,459.0,510.0
Million euro,General government,Community development,Austria,160.0,160.0,163.0,181.0,193.0
Million euro,General government,Community development,Belgium,628.0,638.0,646.0,639.0,710.0
Million euro,General government,Community development,Bulgaria,65.0,72.0,65.0,78.0,96.0
Million euro,General government,Community development,Switzerland,381.0,459.0,492.0,491.0,559.0
Million euro,General government,Community development,Cyprus,131.0,143.0,155.0,219.0,253.0
Million euro,General government,Community development,Czechia,580.0,464.0,405.0,366.0,515.0
Million euro,General government,Community development,Germany,6692.0,6908.0,7263.0,7388.0,8185.0
Million euro,General government,Community development,Denmark,0.0,0.0,0.0,0.0,0.0
Million euro,General government,Community development,Euro area - 19 countries  (2015-2022),27457.0,31032.0,29326.0,31323.0,34210.0
Million euro,General government,Community development,Euro area – 20 countries (from 2023),27700.0,31292.0,29576.0,31617.0,34533.0
Million euro,General government,Community development,Estonia,17.0,21.0,20.0,23.0,25.0
Million euro,General government,Community development,Greece,1.0,1.0,1.0,2.0,2.0
Million euro,General government,Community development,Spain,731.0,423.0,410.0,509.0,553.0
Million euro,General government,Community development,European Union - 27 countries (from 2020),30404.0,33976.0,32200.0,34291.0,37632.0
Million euro,General government,Community development,Finland,484.0,486.0,469.0,642.0,671.0
Million euro,General government,Community development,France,13610.0,15401.0,14183.0,15143.0,16551.0
Million euro,General government,Community development,Croatia,243.0,259.0,250.0,294.0,323.0
Million euro,General government,Community development,Hungary,38.0,95.0,195.0,182.0,325.0
Million euro,General government,Community development,Ireland,416.0,436.0,432.0,419.0,501.0
Million euro,General government,Community development,Iceland,88.0,79.0,68.0,82.0,99.0
Million euro,General government,Community development,Italy,2499.0,4166.0,3309.0,3595.0,3776.0
Million euro,General government,Community development,Lithuania,143.0,147.0,173.0,149.0,189.0
Million euro,General government,Community development,Luxembourg,91.0,95.0,60.0,76.0,66.0
Million euro,General government,Community development,Latvia,103.0,97.0,104.0,101.0,95.0
Million euro,General government,Community development,Malta,40.0,47.0,43.0,46.0,60.0
Million euro,General government,Community development,Netherlands,1101.0,1256.0,1289.0,1519.0,1644.0
Million euro,General government,Community development,Norway,0.0,0.0,0.0,0.0,0.0
Million euro,General government,Community development,Poland,268.0,258.0,178.0,209.0,262.0
Million euro,General government,Community development,Portugal,361.0,359.0,369.0,426.0,453.0
Million euro,General government,Community development,Romania,206.0,297.0,290.0,308.0,350.0
Million euro,General government,Community development,Sweden,1545.0,1495.0,1488.0,1528.0,1548.0
Million euro,General government,Community development,Slovenia,15.0,12.0,15.0,19.0,20.0
Million euro,General government,Community development,Slovakia,227.0,232.0,216.0,222.0,258.0
Million euro,General government,Health,Austria,31770.0,32971.0,35132.0,40840.0,41735.0
Million euro,General government,Health,Belgium,35116.0,36353.0,40151.0,43435.0,44951.0
Million euro,General government,Health,Bulgaria,2786.0,2845.0,3600.0,4151.0,4767.0
Million euro,General government,Health,Switzerland,13042.0,14085.0,16800.0,19011.0,18018.0
Million euro,General government,Health,Cyprus,568.0,811.0,1306.0,1641.0,1720.0
Million euro,General government,Health,Czechia,15791.0,17035.0,20151.0,23419.0,25149.0
Million euro,General government,Health,Germany,241457.0,253019.0,287849.0,314180.0,330286.0
Million euro,General government,Health,Denmark,25075.0,25933.0,27956.0,31185.0,30304.0
Million euro,General government,Health,Euro area - 19 countries  (2015-2022),820358.0,851757.0,937926.0,1023113.0,1060776.0
Million euro,General government,Health,Euro area – 20 countries (from 2023),824029.0,855800.0,942337.0,1027991.0,1065990.0
Million euro,General government,Health,Estonia,1410.0,1578.0,1800.0,2040.0,2153.0
Million euro,General government,Health,Greece,10004.0,10546.0,11100.0,12105.0,12371.0
Million euro,General government,Health,Spain,72157.0,75929.0,85503.0,88562.0,93126.0
Million euro,General government,Health,European Union - 27 countries (from 2020),941144.0,979369.0,1079065.0,1181992.0,1221568.0
Million euro,General government,Health,Finland,16513.0,17114.0,18154.0,19381.0,19942.0
Million euro,General government,Health,France,189699.0,194017.0,205443.0,230827.0,240125.0
Million euro,General government,Health,Croatia,3670.0,4043.0,4410.0,4877.0,5214.0
Million euro,General government,Health,Hungary,6323.0,6641.0,8778.0,8720.0,7491.0
Million euro,General government,Health,Ireland,15823.0,16997.0,20647.0,22683.0,24838.0
Million euro,General government,Health,Iceland,1724.0,1731.0,1640.0,1950.0,2307.0
Million euro,General government,Health,Italy,120673.0,122303.0,130978.0,135648.0,138379.0
Million euro,General government,Health,Lithuania,2175.0,2473.0,2942.0,3308.0,3476.0
Million euro,General government,Health,Luxembourg,3084.0,3232.0,3735.0,3917.0,4152.0
Million euro,General government,Health,Latvia,1171.0,1277.0,1414.0,2105.0,1848.0
Million euro,General government,Health,Malta,661.0,732.0,935.0,997.0,966.0
Million euro,General government,Health,Netherlands,56857.0,59837.0,66413.0,73782.0,72073.0
Million euro,General government,Health,Norway,30304.0,31487.0,30646.0,35551.0,37799.0
Million euro,General government,Health,Poland,23921.0,26035.0,28219.0,33184.0,34611.0
Million euro,General government,Health,Portugal,13252.0,13915.0,14963.0,16437.0,17265.0
Million euro,General government,Health,Romania,9517.0,11163.0,12056.0,13203.0,13907.0
Million euro,General government,Health,Sweden,33699.0,33913.0,35965.0,40135.0,39346.0
Million euro,General government,Health,Slovenia,2994.0,3230.0,3763.0,4303.0,4344.0
Million euro,General government,Health,Slovakia,4969.0,5418.0,5694.0,6915.0,7021.0
Million euro,General government,"Medical products, appliances and equipment",Austria,4266.0,4399.0,4613.0,4911.0,5197.0
Million euro,General government,"Medical products, appliances and equipment",Belgium,3554.0,3710.0,3641.0,4027.0,4300.0
Million euro,General government,"Medical products, appliances and equipment",Bulgaria,368.0,451.0,460.0,477.0,596.0
Million euro,General government,"Medical products, appliances and equipment",Switzerland,0.0,0.0,0.0,0.0,0.0
Million euro,General government,"Medical products, appliances and equipment",Cyprus,131.0,187.0,243.0,327.0,272.0
Million euro,General government,"Medical products, appliances and equipment",Czechia,1851.0,1948.0,1975.0,2204.0,2344.0
Million euro,General government,"Medical products, appliances and equipment",Germany,54157.0,57504.0,60174.0,64991.0,67871.0
Million euro,General government,"Medical products, appliances and equipment",Denmark,1630.0,1706.0,1791.0,1786.0,1844.0
Million euro,General government,"Medical products, appliances and equipment",Euro area - 19 countries  (2015-2022),141291.0,145528.0,150850.0,158884.0,168179.0
Million euro,General government,"Medical products, appliances and equipment",Euro area – 20 countries (from 2023),141882.0,146163.0,151541.0,159609.0,168950.0
Million euro,General government,"Medical products, appliances and equipment",Estonia,194.0,200.0,208.0,223.0,260.0
Million euro,General government,"Medical products, appliances and equipment",Greece,2631.0,2816.0,2971.0,2819.0,2993.0
Million euro,General government,"Medical products, appliances and equipment",Spain,11663.0,11956.0,12992.0,13249.0,13826.0
Million euro,General government,"Medical products, appliances and equipment",European Union - 27 countries (from 2020),152619.0,157599.0,163033.0,171606.0,181547.0
Million euro,General government,"Medical products, appliances and equipment",Finland,1497.0,1581.0,1683.0,1760.0,1844.0
Million euro,General government,"Medical products, appliances and equipment",France,33369.0,34010.0,33893.0,36048.0,39363.0
Million euro,General government,"Medical products, appliances and equipment",Croatia,590.0,635.0,690.0,725.0,771.0
Million euro,General government,"Medical products, appliances and equipment",Hungary,1118.0,1171.0,1135.0,1139.0,1093.0
Million euro,General government,"Medical products, appliances and equipment",Ireland,2253.0,2340.0,2478.0,2661.0,2860.0
Million euro,General government,"Medical products, appliances and equipment",Iceland,109.0,116.0,119.0,137.0,156.0
Million euro,General government,"Medical products, appliances and equipment",Italy,17755.0,16427.0,17362.0,16874.0,17386.0
Million euro,General government,"Medical products, appliances and equipment",Lithuania,333.0,417.0,439.0,497.0,582.0
Million euro,General government,"Medical products, appliances and equipment",Luxembourg,1025.0,1059.0,1256.0,1210.0,1352.0
Million euro,General government,"Medical products, appliances and equipment",Latvia,177.0,170.0,185.0,192.0,216.0
Million euro,General government,"Medical products, appliances and equipment",Malta,76.0,82.0,83.0,86.0,108.0
Million euro,General government,"Medical products, appliances and equipment",Netherlands,5754.0,6040.0,5935.0,6167.0,6664.0
Million euro,General government,"Medical products, appliances and equipment",Norway,1854.0,1810.0,1709.0,1956.0,2130.0
Million euro,General government,"Medical products, appliances and equipment",Poland,305.0,332.0,306.0,320.0,347.0
Million euro,General government,"Medical products, appliances and equipment",Portugal,1137.0,1259.0,1370.0,1396.0,1465.0
Million euro,General government,"Medical products, appliances and equipment",Romania,1920.0,2281.0,2108.0,2063.0,2289.0
Million euro,General government,"Medical products, appliances and equipment",Sweden,3541.0,3545.0,3714.0,4005.0,4081.0
Million euro,General government,"Medical products, appliances and equipment",Slovenia,429.0,464.0,477.0,526.0,604.0
Million euro,General government,"Medical products, appliances and equipment",Slovakia,886.0,900.0,842.0,916.0,1009.0
Million euro,General government,Outpatient services,Austria,5808.0,6169.0,6139.0,6731.0,7223.0
Million euro,General government,Outpatient services,Belgium,13209.0,13836.0,13762.0,15234.0,15904.0
Million euro,General government,Outpatient services,Bulgaria,299.0,342.0,436.0,490.0,650.0
Million euro,General government,Outpatient services,Switzerland,1152.0,1285.0,1448.0,1485.0,1672.0
Million euro,General government,Outpatient services,Cyprus,11.0,133.0,329.0,383.0,388.0
Million euro,General government,Outpatient services,Czechia,3224.0,3560.0,4171.0,4629.0,5073.0
Million euro,General government,Outpatient services,Germany,73275.0,77313.0,80729.0,84720.0,88205.0
Million euro,General government,Outpatient services,Denmark,3654.0,3790.0,3840.0,4025.0,4188.0
Million euro,General government,Outpatient services,Euro area - 19 countries  (2015-2022),272113.0,284714.0,294898.0,318228.0,329465.0
Million euro,General government,Outpatient services,Euro area – 20 countries (from 2023),272803.0,285464.0,295680.0,319018.0,330290.0
Million euro,General government,Outpatient services,Estonia,146.0,161.0,172.0,188.0,213.0
Million euro,General government,Outpatient services,Greece,1005.0,1047.0,1043.0,1211.0,1310.0
Million euro,General government,Outpatient services,Spain,26487.0,28078.0,31058.0,32164.0,33691.0
Million euro,General government,Outpatient services,European Union - 27 countries (from 2020),304021.0,318326.0,330560.0,358575.0,371333.0
Million euro,General government,Outpatient services,Finland,7363.0,7621.0,8011.0,8532.0,8817.0
Million euro,General government,Outpatient services,France,68721.0,70571.0,70861.0,81859.0,83226.0
Million euro,General government,Outpatient services,Croatia,689.0,749.0,782.0,789.0,824.0
Million euro,General government,Outpatient services,Hungary,1791.0,1848.0,1892.0,2186.0,2207.0
Million euro,General government,Outpatient services,Ireland,5882.0,6498.0,7312.0,7990.0,8756.0
Million euro,General government,Outpatient services,Iceland,392.0,399.0,370.0,443.0,501.0
Million euro,General government,Outpatient services,Italy,43560.0,45352.0,47153.0,48841.0,49845.0
Million euro,General government,Outpatient services,Lithuania,690.0,775.0,914.0,1063.0,1070.0
Million euro,General government,Outpatient services,Luxembourg,625.0,674.0,719.0,788.0,908.0
Million euro,General government,Outpatient services,Latvia,286.0,312.0,315.0,634.0,419.0
Million euro,General government,Outpatient services,Malta,120.0,123.0,135.0,165.0,174.0
Million euro,General government,Outpatient services,Netherlands,18783.0,19624.0,20018.0,20565.0,21936.0
Million euro,General government,Outpatient services,Norway,7044.0,7222.0,7079.0,8432.0,8803.0
Million euro,General government,Outpatient services,Poland,7057.0,7664.0,8016.0,9848.0,10733.0
Million euro,General government,Outpatient services,Portugal,4037.0,4083.0,3789.0,4406.0,4513.0
Million euro,General government,Outpatient services,Romania,275.0,275.0,295.0,339.0,429.0
Million euro,General government,Outpatient services,Sweden,14916.0,15380.0,16227.0,18038.0,17761.0
Million euro,General government,Outpatient services,Slovenia,861.0,960.0,1046.0,1209.0,1238.0
Million euro,General government,Outpatient services,Slovakia,1239.0,1378.0,1389.0,1539.0,1623.0
Million euro,General government,Hospital services,Austria,18024.0,18633.0,19690.0,20555.0,21225.0
Million euro,General government,Hospital services,Belgium,16816.0,17052.0,20597.0,20992.0,21831.0
Million euro,General government,Hospital services,Bulgaria,1960.0,1877.0,2329.0,2729.0,3043.0
Million euro,General government,Hospital services,Switzerland,10332.0,11153.0,12673.0,12217.0,13322.0
Million euro,General government,Hospital services,Cyprus,407.0,468.0,690.0,877.0,962.0
Million euro,General government,Hospital services,Czechia,7353.0,7966.0,9390.0,10756.0,11211.0
Million euro,General government,Hospital services,Germany,92285.0,95739.0,102109.0,105743.0,108062.0
Million euro,General government,Hospital services,Denmark,17709.0,17856.0,19549.0,21692.0,21163.0
Million euro,General government,Hospital services,Euro area - 19 countries  (2015-2022),347353.0,359474.0,390216.0,410630.0,424170.0
Million euro,General government,Hospital services,Euro area – 20 countries (from 2023),349376.0,361714.0,392684.0,413371.0,427097.0
Million euro,General government,Hospital services,Estonia,1017.0,1123.0,1273.0,1462.0,1531.0
Million euro,General government,Hospital services,Greece,6080.0,6334.0,6611.0,7072.0,7270.0
Million euro,General government,Hospital services,Spain,29514.0,31171.0,36451.0,36589.0,38497.0
Million euro,General government,Hospital services,European Union - 27 countries (from 2020),412057.0,427434.0,466678.0,493943.0,508908.0
Million euro,General government,Hospital services,Finland,7235.0,7491.0,7787.0,8239.0,8509.0
Million euro,General government,Hospital services,France,79989.0,81682.0,85733.0,92998.0,98451.0
Million euro,General government,Hospital services,Croatia,2023.0,2239.0,2467.0,2740.0,2927.0
Million euro,General government,Hospital services,Hungary,2860.0,2867.0,4841.0,3423.0,3085.0
Million euro,General government,Hospital services,Ireland,5948.0,6479.0,7841.0,8922.0,9839.0
Million euro,General government,Hospital services,Iceland,1165.0,1157.0,1092.0,1283.0,1555.0
Million euro,General government,Hospital services,Italy,49821.0,50274.0,52818.0,54712.0,56279.0
Million euro,General government,Hospital services,Lithuania,983.0,1104.0,1266.0,1536.0,1557.0
Million euro,General government,Hospital services,Luxembourg,1228.0,1295.0,1444.0,1565.0,1585.0
Million euro,General government,Hospital services,Latvia,643.0,722.0,776.0,1047.0,1115.0
Million euro,General government,Hospital services,Malta,424.0,483.0,549.0,559.0,563.0
Million euro,General government,Hospital services,Netherlands,25983.0,27594.0,31243.0,33215.0,31969.0
Million euro,General government,Hospital services,Norway,17828.0,18718.0,18019.0,20277.0,21936.0
Million euro,General government,Hospital services,Poland,15117.0,16619.0,17996.0,20372.0,21547.0
Million euro,General government,Hospital services,Portugal,7115.0,7623.0,8560.0,9122.0,9585.0
Million euro,General government,Hospital services,Romania,5466.0,6394.0,6878.0,7401.0,7862.0
Million euro,General government,Hospital services,Sweden,12214.0,12139.0,13007.0,14195.0,13896.0
Million euro,General government,Hospital services,Slovenia,1391.0,1468.0,1834.0,1957.0,1937.0
Million euro,General government,Hospital services,Slovakia,2443.0,2735.0,2938.0,3465.0,3400.0
Million euro,General government,Public health services,Austria,712.0,736.0,1574.0,5434.0,4779.0
Million euro,General government,Public health services,Belgium,592.0,639.0,925.0,1891.0,1652.0
Million euro,General government,Public health services,Bulgaria,52.0,55.0,64.0,168.0,143.0
Million euro,General government,Public health services,Switzerland,640.0,688.0,1735.0,4380.0,1952.0
Million euro,General government,Public health services,Cyprus,7.0,8.0,28.0,36.0,85.0
Million euro,General government,Public health services,Czechia,2770.0,2902.0,3936.0,5095.0,5700.0
Million euro,General government,Public health services,Germany,2166.0,2348.0,13208.0,28527.0,32777.0
Million euro,General government,Public health services,Denmark,405.0,412.0,596.0,1185.0,624.0
Million euro,General government,Public health services,Euro area - 19 countries  (2015-2022),15292.0,16316.0,42465.0,74918.0,73741.0
Million euro,General government,Public health services,Euro area – 20 countries (from 2023),15484.0,16531.0,42741.0,75344.0,74219.0
Million euro,General government,Public health services,Estonia,10.0,12.0,82.0,91.0,67.0
Million euro,General government,Public health services,Greece,20.0,35.0,161.0,660.0,434.0
Million euro,General government,Public health services,Spain,1081.0,1123.0,1274.0,2619.0,2956.0
Million euro,General government,Public health services,European Union - 27 countries (from 2020),20464.0,21702.0,49776.0,86661.0,83620.0
Million euro,General government,Public health services,Finland,72.0,77.0,317.0,496.0,395.0
Million euro,General government,Public health services,France,2748.0,2858.0,9407.0,13513.0,12221.0
Million euro,General government,Public health services,Croatia,191.0,215.0,275.0,425.0,478.0
Million euro,General government,Public health services,Hungary,183.0,214.0,337.0,1184.0,565.0
Million euro,General government,Public health services,Ireland,444.0,392.0,1636.0,1649.0,1789.0
Million euro,General government,Public health services,Iceland,4.0,3.0,4.0,7.0,5.0
Million euro,General government,Public health services,Italy,5505.0,6055.0,8886.0,9906.0,9616.0
Million euro,General government,Public health services,Lithuania,27.0,40.0,92.0,103.0,73.0
Million euro,General government,Public health services,Luxembourg,32.0,36.0,150.0,177.0,117.0
Million euro,General government,Public health services,Latvia,16.0,35.0,91.0,179.0,45.0
Million euro,General government,Public health services,Malta,21.0,18.0,132.0,140.0,74.0
Million euro,General government,Public health services,Netherlands,1560.0,1613.0,4038.0,7984.0,5630.0
Million euro,General government,Public health services,Norway,973.0,1056.0,1210.0,1971.0,1739.0
Million euro,General government,Public health services,Poland,337.0,369.0,456.0,1276.0,546.0
Million euro,General government,Public health services,Portugal,81.0,83.0,131.0,491.0,590.0
Million euro,General government,Public health services,Romania,154.0,184.0,401.0,520.0,325.0
Million euro,General government,Public health services,Sweden,1076.0,1031.0,1241.0,1887.0,1496.0
Million euro,General government,Public health services,Slovenia,155.0,161.0,216.0,403.0,343.0
Million euro,General government,Public health services,Slovakia,38.0,42.0,112.0,612.0,93.0
Million euro,General government,"Recreation, culture and religion",Austria,4473.0,4621.0,4556.0,4931.0,5238.0
Million euro,General government,"Recreation, culture and religion",Belgium,5988.0,6092.0,5816.0,6036.0,6853.0
Million euro,General government,"Recreation, culture and religion",Bulgaria,451.0,413.0,525.0,658.0,527.0
Million euro,General government,"Recreation, culture and religion",Switzerland,6166.0,6484.0,7014.0,7346.0,7487.0
Million euro,General government,"Recreation, culture and religion",Cyprus,176.0,208.0,195.0,167.0,184.0
Million euro,General government,"Recreation, culture and religion",Czechia,3109.0,3216.0,3103.0,3205.0,3820.0
Million euro,General government,"Recreation, culture and religion",Germany,34724.0,36179.0,37452.0,38150.0,39956.0
Million euro,General government,"Recreation, culture and religion",Denmark,4909.0,4976.0,5282.0,5460.0,5327.0
Million euro,General government,"Recreation, culture and religion",Euro area - 19 countries  (2015-2022),128555.0,133678.0,131591.0,140276.0,149499.0
Million euro,General government,"Recreation, culture and religion",Euro area – 20 countries (from 2023),129428.0,134651.0,132576.0,141290.0,150560.0
Million euro,General government,"Recreation, culture and religion",Estonia,509.0,563.0,554.0,647.0,677.0
Million euro,General government,"Recreation, culture and religion",Greece,1731.0,1723.0,1822.0,2014.0,2177.0
Million euro,General government,"Recreation, culture and religion",Spain,13536.0,14408.0,13372.0,14609.0,16599.0
Million euro,General government,"Recreation, culture and religion",European Union - 27 countries (from 2020),157386.0,164089.0,163302.0,172383.0,182438.0
Million euro,General government,"Recreation, culture and religion",Finland,3542.0,3566.0,3579.0,3722.0,3730.0
Million euro,General government,"Recreation, culture and religion",France,33130.0,34859.0,32861.0,35144.0,37803.0
Million euro,General government,"Recreation, culture and religion",Croatia,872.0,973.0,984.0,1013.0,1060.0
Million euro,General government,"Recreation, culture and religion",Hungary,4253.0,4391.0,5364.0,4618.0,4643.0
Million euro,General government,"Recreation, culture and religion",Ireland,1819.0,1871.0,1898.0,1953.0,2114.0
Million euro,General government,"Recreation, culture and religion",Iceland,699.0,685.0,659.0,709.0,832.0
Million euro,General government,"Recreation, culture and religion",Italy,13782.0,14086.0,13545.0,15928.0,15567.0
Million euro,General government,"Recreation, culture and religion",Lithuania,499.0,570.0,702.0,669.0,822.0
Million euro,General government,"Recreation, culture and religion",Luxembourg,761.0,794.0,786.0,844.0,952.0
Million euro,General government,"Recreation, culture and religion",Latvia,479.0,446.0,419.0,482.0,514.0
Million euro,General government,"Recreation, culture and religion",Malta,153.0,144.0,164.0,202.0,241.0
Million euro,General government,"Recreation, culture and religion",Netherlands,9881.0,9927.0,10344.0,10786.0,11837.0
Million euro,General government,"Recreation, culture and religion",Norway,6301.0,6663.0,6342.0,7036.0,7254.0
Million euro,General government,"Recreation, culture and religion",Poland,6647.0,7297.0,6744.0,6749.0,7389.0
Million euro,General government,"Recreation, culture and religion",Portugal,1771.0,1860.0,1881.0,2182.0,2192.0
Million euro,General government,"Recreation, culture and religion",Romania,2078.0,2308.0,2261.0,2221.0,2714.0
Million euro,General government,"Recreation, culture and religion",Sweden,6507.0,6832.0,7444.0,8181.0,7456.0
Million euro,General government,"Recreation, culture and religion",Slovenia,647.0,672.0,682.0,778.0,866.0
Million euro,General government,"Recreation, culture and religion",Slovakia,948.0,1083.0,958.0,1027.0,1170.0
Million euro,General government,Recreational and sporting services,Austria,1077.0,1090.0,1108.0,1235.0,1360.0
Million euro,General government,Recreational and sporting services,Belgium,1925.0,1975.0,1793.0,1932.0,2168.0
Million euro,General government,Recreational and sporting services,Bulgaria,89.0,64.0,148.0,158.0,100.0
Million euro,General government,Recreational and sporting services,Switzerland,2177.0,2337.0,2451.0,2621.0,2656.0
Million euro,General government,Recreational and sporting services,Cyprus,61.0,82.0,76.0,51.0,60.0
Million euro,General government,Recreational and sporting services,Czechia,1014.0,1031.0,1027.0,1006.0,1324.0
Million euro,General government,Recreational and sporting services,Germany,8431.0,8943.0,9514.0,9401.0,9929.0
Million euro,General government,Recreational and sporting services,Denmark,1166.0,1214.0,1235.0,1242.0,1185.0
Million euro,General government,Recreational and sporting services,Euro area - 19 countries  (2015-2022),41805.0,44348.0,42976.0,45737.0,49384.0
Million euro,General government,Recreational and sporting services,Euro area – 20 countries (from 2023),42008.0,44584.0,43211.0,45975.0,49641.0
Million euro,General government,Recreational and sporting services,Estonia,137.0,162.0,159.0,203.0,188.0
Million euro,General government,Recreational and sporting services,Greece,789.0,787.0,847.0,969.0,1078.0
Million euro,General government,Recreational and sporting services,Spain,4777.0,5165.0,4750.0,5294.0,5998.0
Million euro,General government,Recreational and sporting services,European Union - 27 countries (from 2020),51441.0,54732.0,53631.0,56333.0,60500.0
Million euro,General government,Recreational and sporting services,Finland,1351.0,1393.0,1327.0,1337.0,1318.0
Million euro,General government,Recreational and sporting services,France,12748.0,13750.0,12728.0,13068.0,14662.0
Million euro,General government,Recreational and sporting services,Croatia,202.0,235.0,234.0,238.0,257.0
Million euro,General government,Recreational and sporting services,Hungary,1329.0,1571.0,1739.0,1349.0,1438.0
Million euro,General government,Recreational and sporting services,Ireland,360.0,392.0,373.0,395.0,403.0
Million euro,General government,Recreational and sporting services,Iceland,340.0,330.0,323.0,349.0,413.0
Million euro,General government,Recreational and sporting services,Italy,4693.0,4858.0,4346.0,5548.0,5204.0
Million euro,General government,Recreational and sporting services,Lithuania,99.0,122.0,155.0,170.0,209.0
Million euro,General government,Recreational and sporting services,Luxembourg,313.0,333.0,318.0,344.0,397.0
Million euro,General government,Recreational and sporting services,Latvia,93.0,76.0,66.0,70.0,104.0
Million euro,General government,Recreational and sporting services,Malta,29.0,27.0,21.0,61.0,59.0
Million euro,General government,Recreational and sporting services,Netherlands,3960.0,4165.0,4395.0,4491.0,4933.0
Million euro,General government,Recreational and sporting services,Norway,1631.0,1824.0,1703.0,1777.0,1949.0
Million euro,General government,Recreational and sporting services,Poland,2250.0,2352.0,2078.0,2218.0,2476.0
Million euro,General government,Recreational and sporting services,Portugal,637.0,668.0,667.0,821.0,787.0
Million euro,General government,Recreational and sporting services,Romania,585.0,662.0,651.0,655.0,821.0
Million euro,General government,Recreational and sporting services,Sweden,2999.0,3251.0,3538.0,3726.0,3513.0
Million euro,General government,Recreational and sporting services,Slovenia,145.0,136.0,140.0,151.0,224.0
Million euro,General government,Recreational and sporting services,Slovakia,175.0,217.0,188.0,190.0,295.0
Million euro,General government,Cultural services,Austria,2010.0,2121.0,2008.0,2067.0,2189.0
Million euro,General government,Cultural services,Belgium,2424.0,2441.0,2307.0,2415.0,2857.0
Million euro,General government,Cultural services,Bulgaria,268.0,263.0,273.0,352.0,314.0
Million euro,General government,Cultural services,Switzerland,2428.0,2581.0,2921.0,2879.0,3030.0
Million euro,General government,Cultural services,Cyprus,47.0,53.0,53.0,48.0,48.0
Million euro,General government,Cultural services,Czechia,1379.0,1437.0,1402.0,1461.0,1700.0
Million euro,General government,Cultural services,Germany,12754.0,13684.0,14215.0,14136.0,15133.0
Million euro,General government,Cultural services,Denmark,1769.0,1755.0,1935.0,2041.0,1972.0
Million euro,General government,Cultural services,Euro area - 19 countries  (2015-2022),52658.0,54769.0,53844.0,57895.0,61232.0
Million euro,General government,Cultural services,Euro area – 20 countries (from 2023),53027.0,55183.0,54242.0,58319.0,61685.0
Million euro,General government,Cultural services,Estonia,249.0,277.0,256.0,273.0,321.0
Million euro,General government,Cultural services,Greece,285.0,266.0,281.0,315.0,327.0
Million euro,General government,Cultural services,Spain,5364.0,5775.0,5012.0,5471.0,6304.0
