,coicop,country,year,month,value
4461188,"Alcoholic beverages, tobacco and narcotics",Ireland,2018,01,2.8
4461189,"Alcoholic beverages, tobacco and narcotics",Iceland,2018,01,2.3
4461190,"Alcoholic beverages, tobacco and narcotics",Italy,2018,01,1.1
4461191,"Alcoholic beverages, tobacco and narcotics",Lithuania,2018,01,11.5
4461192,"Alcoholic beverages, tobacco and narcotics",Luxembourg,2018,01,2.2
4461193,"Alcoholic beverages, tobacco and narcotics",Latvia,2018,01,1.0
4461194,"Alcoholic beverages, tobacco and narcotics",Montenegro,2018,01,24.7
4461195,"Alcoholic beverages, tobacco and narcotics",North Macedonia,2018,01,6.2
4461196,"Alcoholic beverages, tobacco and narcotics",Malta,2018,01,1.1
4461197,"Alcoholic beverages, tobacco and narcotics",Netherlands,2018,01,2.0
4461198,"Alcoholic beverages, tobacco and narcotics",Norway,2018,01,2.1
4461199,"Alcoholic beverages, tobacco and narcotics",Poland,2018,01,1.6
4461200,"Alcoholic beverages, tobacco and narcotics",Portugal,2018,01,2.3
4461201,"Alcoholic beverages, tobacco and narcotics",Romania,2018,01,4.3
4461202,"Alcoholic beverages, tobacco and narcotics",Serbia,2018,01,3.6
4461203,"Alcoholic beverages, tobacco and narcotics",Sweden,2018,01,1.1
4461204,"Alcoholic beverages, tobacco and narcotics",Slovenia,2018,01,3.6
4461205,"Alcoholic beverages, tobacco and narcotics",Slovakia,2018,01,1.8
4461210,Alcoholic beverages,Albania,2018,01,0.8
4461211,Alcoholic beverages,Austria,2018,01,1.6
4461212,Alcoholic beverages,Belgium,2018,01,2.2
4461213,Alcoholic beverages,Bulgaria,2018,01,0.6
4461214,Alcoholic beverages,Switzerland,2018,01,0.7
4461215,Alcoholic beverages,Cyprus,2018,01,4.1
4461217,Alcoholic beverages,Germany,2018,01,0.5
4461218,Alcoholic beverages,Denmark,2018,01,0.7
4461222,Alcoholic beverages,Estonia,2018,01,13.3
4461224,Alcoholic beverages,Greece,2018,01,0.7
4461225,Alcoholic beverages,Spain,2018,01,1.8
4461229,Alcoholic beverages,Finland,2018,01,4.6
4461230,Alcoholic beverages,France,2018,01,0.8
4461231,Alcoholic beverages,Croatia,2018,01,0.9
4461232,Alcoholic beverages,Hungary,2018,01,3.3
4461233,Alcoholic beverages,Ireland,2018,01,1.3
4461234,Alcoholic beverages,Iceland,2018,01,0.5
4461235,Alcoholic beverages,Italy,2018,01,2.5
4461236,Alcoholic beverages,Lithuania,2018,01,13.8
4461237,Alcoholic beverages,Luxembourg,2018,01,1.0
4461238,Alcoholic beverages,Latvia,2018,01,1.4
4461239,Alcoholic beverages,Montenegro,2018,01,1.0
4461240,Alcoholic beverages,North Macedonia,2018,01,0.5
4461241,Alcoholic beverages,Malta,2018,01,2.6
4461242,Alcoholic beverages,Netherlands,2018,01,1.6
4461243,Alcoholic beverages,Norway,2018,01,0.7
4461244,Alcoholic beverages,Poland,2018,01,0.5
4461245,Alcoholic beverages,Portugal,2018,01,2.0
4461246,Alcoholic beverages,Romania,2018,01,1.2
4461247,Alcoholic beverages,Serbia,2018,01,2.2
4461248,Alcoholic beverages,Sweden,2018,01,0.7
4461249,Alcoholic beverages,Slovenia,2018,01,1.0
4461250,Alcoholic beverages,Slovakia,2018,01,0.1
4465828,Health,Albania,2018,01,0.2
4465829,Health,Austria,2018,01,2.8
4465830,Health,Belgium,2018,01,2.7
4465831,Health,Bulgaria,2018,01,0.3
4465832,Health,Switzerland,2018,01,0.9
4465833,Health,Cyprus,2018,01,0.8
4465835,Health,Germany,2018,01,1.2
4465836,Health,Denmark,2018,01,0.0
4465840,Health,Estonia,2018,01,2.3
4465842,Health,Greece,2018,01,0.7
4465843,Health,Spain,2018,01,0.3
4465847,Health,Finland,2018,01,1.5
4465848,Health,France,2018,01,0.7
4465849,Health,Croatia,2018,01,0.2
4465850,Health,Hungary,2018,01,3.5
4465851,Health,Ireland,2018,01,0.4
4465852,Health,Iceland,2018,01,2.2
4465853,Health,Italy,2018,01,0.4
4465854,Health,Lithuania,2018,01,0.3
4465855,Health,Luxembourg,2018,01,0.8
4465856,Health,Latvia,2018,01,4.1
4465857,Health,Montenegro,2018,01,0.7
4465858,Health,North Macedonia,2018,01,0.7
4465859,Health,Malta,2018,01,2.1
4465860,Health,Netherlands,2018,01,1.0
4465861,Health,Norway,2018,01,0.7
4465862,Health,Poland,2018,01,1.8
4465863,Health,Portugal,2018,01,0.7
4465864,Health,Romania,2018,01,1.0
4465865,Health,Serbia,2018,01,1.4
4465866,Health,Sweden,2018,01,0.0
4465867,Health,Slovenia,2018,01,0.8
4465868,Health,Slovakia,2018,01,0.1
4465873,"Medical products, appliances and equipment",Albania,2018,01,0.8
4465874,"Medical products, appliances and equipment",Austria,2018,01,1.2
4465875,"Medical products, appliances and equipment",Belgium,2018,01,2.3
4465876,"Medical products, appliances and equipment",Bulgaria,2018,01,0.2
4465877,"Medical products, appliances and equipment",Switzerland,2018,01,0.0
4465878,"Medical products, appliances and equipment",Cyprus,2018,01,0.1
4465880,"Medical products, appliances and equipment",Germany,2018,01,1.5
4465881,"Medical products, appliances and equipment",Denmark,2018,01,2.2
4465885,"Medical products, appliances and equipment",Estonia,2018,01,1.0
4465887,"Medical products, appliances and equipment",Greece,2018,01,1.3
4465888,"Medical products, appliances and equipment",Spain,2018,01,0.6
4465892,"Medical products, appliances and equipment",Finland,2018,01,0.8
4465893,"Medical products, appliances and equipment",France,2018,01,0.8
4465894,"Medical products, appliances and equipment",Croatia,2018,01,0.2
4465895,"Medical products, appliances and equipment",Hungary,2018,01,3.2
4465896,"Medical products, appliances and equipment",Ireland,2018,01,2.6
4465897,"Medical products, appliances and equipment",Iceland,2018,01,0.3
4465898,"Medical products, appliances and equipment",Italy,2018,01,0.3
4465899,"Medical products, appliances and equipment",Lithuania,2018,01,3.2
4465900,"Medical products, appliances and equipment",Luxembourg,2018,01,0.2
4465901,"Medical products, appliances and equipment",Latvia,2018,01,2.8
4465902,"Medical products, appliances and equipment",Montenegro,2018,01,1.1
4465903,"Medical products, appliances and equipment",North Macedonia,2018,01,0.4
4465904,"Medical products, appliances and equipment",Malta,2018,01,0.4
4465905,"Medical products, appliances and equipment",Netherlands,2018,01,1.5
4465906,"Medical products, appliances and equipment",Norway,2018,01,0.6
4465907,"Medical products, appliances and equipment",Poland,2018,01,0.7
4465908,"Medical products, appliances and equipment",Portugal,2018,01,2.4
4465909,"Medical products, appliances and equipment",Romania,2018,01,0.2
4465910,"Medical products, appliances and equipment",Serbia,2018,01,1.2
4465911,"Medical products, appliances and equipment",Sweden,2018,01,0.3
4465912,"Medical products, appliances and equipment",Slovenia,2018,01,0.2
4465913,"Medical products, appliances and equipment",Slovakia,2018,01,1.2
4466704,Transport,Albania,2018,01,2.2
4466705,Transport,Austria,2018,01,1.0
4466706,Transport,Belgium,2018,01,2.0
4466707,Transport,Bulgaria,2018,01,0.7
4466708,Transport,Switzerland,2018,01,0.4
4466709,Transport,Cyprus,2018,01,1.0
4466711,Transport,Germany,2018,01,1.5
4466712,Transport,Denmark,2018,01,0.3
4466716,Transport,Estonia,2018,01,3.5
4466718,Transport,Greece,2018,01,2.4
4466719,Transport,Spain,2018,01,1.8
4466723,Transport,Finland,2018,01,1.3
4466724,Transport,France,2018,01,2.6
4466725,Transport,Croatia,2018,01,0.6
4466726,Transport,Hungary,2018,01,0.5
4466727,Transport,Ireland,2018,01,0.2
4466728,Transport,Iceland,2018,01,3.5
4466729,Transport,Italy,2018,01,1.6
4466730,Transport,Lithuania,2018,01,3.0
4466731,Transport,Luxembourg,2018,01,1.6
4466732,Transport,Latvia,2018,01,1.8
4466733,Transport,Montenegro,2018,01,3.3
4466734,Transport,North Macedonia,2018,01,5.3
4466735,Transport,Malta,2018,01,0.3
4466736,Transport,Netherlands,2018,01,1.2
4466737,Transport,Norway,2018,01,1.5
4466738,Transport,Poland,2018,01,0.0
4466739,Transport,Portugal,2018,01,3.3
4466740,Transport,Romania,2018,01,5.8
4466741,Transport,Serbia,2018,01,0.4
4466742,Transport,Sweden,2018,01,0.8
4466743,Transport,Slovenia,2018,01,0.5
4466744,Transport,Slovakia,2018,01,2.8
4467256,Fuels and lubricants for personal transport equipment,Albania,2018,01,3.1
4467257,Fuels and lubricants for personal transport equipment,Austria,2018,01,1.6
4467258,Fuels and lubricants for personal transport equipment,Belgium,2018,01,3.2
4467259,Fuels and lubricants for personal transport equipment,Bulgaria,2018,01,3.9
4467260,Fuels and lubricants for personal transport equipment,Switzerland,2018,01,3.1
4467261,Fuels and lubricants for personal transport equipment,Cyprus,2018,01,0.5
4467263,Fuels and lubricants for personal transport equipment,Germany,2018,01,0.4
4467264,Fuels and lubricants for personal transport equipment,Denmark,2018,01,0.7
4467268,Fuels and lubricants for personal transport equipment,Estonia,2018,01,12.4
4467270,Fuels and lubricants for personal transport equipment,Greece,2018,01,0.2
4467271,Fuels and lubricants for personal transport equipment,Spain,2018,01,2.5
4467275,Fuels and lubricants for personal transport equipment,Finland,2018,01,1.6
4467276,Fuels and lubricants for personal transport equipment,France,2018,01,7.2
4467277,Fuels and lubricants for personal transport equipment,Croatia,2018,01,1.4
4467278,Fuels and lubricants for personal transport equipment,Hungary,2018,01,1.3
4467279,Fuels and lubricants for personal transport equipment,Ireland,2018,01,0.6
4467280,Fuels and lubricants for personal transport equipment,Iceland,2018,01,3.4
4467281,Fuels and lubricants for personal transport equipment,Italy,2018,01,2.7
4467282,Fuels and lubricants for personal transport equipment,Lithuania,2018,01,3.1
4467283,Fuels and lubricants for personal transport equipment,Luxembourg,2018,01,2.0
4467284,Fuels and lubricants for personal transport equipment,Latvia,2018,01,4.3
4467285,Fuels and lubricants for personal transport equipment,Montenegro,2018,01,4.7
4467286,Fuels and lubricants for personal transport equipment,North Macedonia,2018,01,2.5
4467287,Fuels and lubricants for personal transport equipment,Malta,2018,01,0.0
4467288,Fuels and lubricants for personal transport equipment,Netherlands,2018,01,2.0
4467289,Fuels and lubricants for personal transport equipment,Norway,2018,01,1.8
4467290,Fuels and lubricants for personal transport equipment,Poland,2018,01,1.0
4467291,Fuels and lubricants for personal transport equipment,Portugal,2018,01,2.3
4467292,Fuels and lubricants for personal transport equipment,Romania,2018,01,9.8
4467293,Fuels and lubricants for personal transport equipment,Serbia,2018,01,2.1
4467294,Fuels and lubricants for personal transport equipment,Sweden,2018,01,3.5
4467295,Fuels and lubricants for personal transport equipment,Slovenia,2018,01,2.2
4467296,Fuels and lubricants for personal transport equipment,Slovakia,2018,01,1.3
4468239,Communications,Albania,2018,01,0.5
4468240,Communications,Austria,2018,01,2.7
4468241,Communications,Belgium,2018,01,0.4
4468242,Communications,Bulgaria,2018,01,0.6
4468243,Communications,Switzerland,2018,01,1.0
4468244,Communications,Cyprus,2018,01,1.3
4468246,Communications,Germany,2018,01,0.6
4468247,Communications,Denmark,2018,01,1.7
4468251,Communications,Estonia,2018,01,5.6
4468253,Communications,Greece,2018,01,0.1
4468254,Communications,Spain,2018,01,0.9
4468258,Communications,Finland,2018,01,1.3
4468259,Communications,France,2018,01,1.2
4468260,Communications,Croatia,2018,01,0.8
4468261,Communications,Hungary,2018,01,6.7
4468262,Communications,Ireland,2018,01,0.6
4468263,Communications,Iceland,2018,01,9.7
4468264,Communications,Italy,2018,01,0.8
4468265,Communications,Lithuania,2018,01,0.1
4468266,Communications,Luxembourg,2018,01,2.8
4468267,Communications,Latvia,2018,01,1.1
4468268,Communications,Montenegro,2018,01,1.7
4468269,Communications,North Macedonia,2018,01,11.8
4468270,Communications,Malta,2018,01,1.0
4468271,Communications,Netherlands,2018,01,7.8
4468272,Communications,Norway,2018,01,0.5
4468273,Communications,Poland,2018,01,1.6
4468274,Communications,Portugal,2018,01,0.6
4468275,Communications,Romania,2018,01,2.7
4468276,Communications,Serbia,2018,01,4.2
4468277,Communications,Sweden,2018,01,0.3
4468278,Communications,Slovenia,2018,01,0.6
4468279,Communications,Slovakia,2018,01,0.0
4471573,Education,Albania,2018,01,0.9
4471574,Education,Austria,2018,01,1.9
4471575,Education,Belgium,2018,01,1.7
4471576,Education,Bulgaria,2018,01,4.0
4471577,Education,Switzerland,2018,01,1.4
4471578,Education,Cyprus,2018,01,1.1
4471580,Education,Germany,2018,01,2.4
4471581,Education,Denmark,2018,01,2.7
4471585,Education,Estonia,2018,01,4.9
4471587,Education,Greece,2018,01,0.2
4471588,Education,Spain,2018,01,0.7
4471592,Education,Finland,2018,01,1.8
4471593,Education,France,2018,01,1.7
4471594,Education,Croatia,2018,01,0.4
4471595,Education,Hungary,2018,01,2.4
4471596,Education,Ireland,2018,01,1.6
4471597,Education,Iceland,2018,01,0.3
4471598,Education,Italy,2018,01,16.0
4471599,Education,Lithuania,2018,01,2.8
4471600,Education,Luxembourg,2018,01,1.4
4471601,Education,Latvia,2018,01,0.5
4471602,Education,Montenegro,2018,01,0.0
4471603,Education,North Macedonia,2018,01,0.1
4471604,Education,Malta,2018,01,0.5
4471605,Education,Netherlands,2018,01,2.3
4471606,Education,Norway,2018,01,6.0
4471607,Education,Poland,2018,01,2.1
4471608,Education,Portugal,2018,01,1.2
4471609,Education,Romania,2018,01,2.9
4471610,Education,Serbia,2018,01,0.5
4471611,Education,Sweden,2018,01,4.2
4471612,Education,Slovenia,2018,01,3.4
4471613,Education,Slovakia,2018,01,1.2
4471844,Restaurants and hotels,Albania,2018,01,0.2
4471845,Restaurants and hotels,Austria,2018,01,2.8
4471846,Restaurants and hotels,Belgium,2018,01,3.0
4471847,Restaurants and hotels,Bulgaria,2018,01,2.4
4471848,Restaurants and hotels,Switzerland,2018,01,0.5
4471849,Restaurants and hotels,Cyprus,2018,01,0.9
4471851,Restaurants and hotels,Germany,2018,01,2.2
4471852,Restaurants and hotels,Denmark,2018,01,2.0
4471856,Restaurants and hotels,Estonia,2018,01,4.6
4471858,Restaurants and hotels,Greece,2018,01,1.8
4471859,Restaurants and hotels,Spain,2018,01,2.1
4471863,Restaurants and hotels,Finland,2018,01,2.2
4471864,Restaurants and hotels,France,2018,01,2.0
4471865,Restaurants and hotels,Croatia,2018,01,3.3
4471866,Restaurants and hotels,Hungary,2018,01,3.6
4471867,Restaurants and hotels,Ireland,2018,01,1.9
4471868,Restaurants and hotels,Iceland,2018,01,3.3
4471869,Restaurants and hotels,Italy,2018,01,1.1
4471870,Restaurants and hotels,Lithuania,2018,01,5.1
4471871,Restaurants and hotels,Luxembourg,2018,01,2.1
4471872,Restaurants and hotels,Latvia,2018,01,1.7
4471873,Restaurants and hotels,Montenegro,2018,01,6.5
4471874,Restaurants and hotels,North Macedonia,2018,01,3.0
4471875,Restaurants and hotels,Malta,2018,01,2.1
4471876,Restaurants and hotels,Netherlands,2018,01,3.2
4471877,Restaurants and hotels,Norway,2018,01,2.2
4471878,Restaurants and hotels,Poland,2018,01,3.0
4471879,Restaurants and hotels,Portugal,2018,01,2.6
4471880,Restaurants and hotels,Romania,2018,01,2.6
4471881,Restaurants and hotels,Serbia,2018,01,1.4
4471882,Restaurants and hotels,Sweden,2018,01,3.7
4471883,Restaurants and hotels,Slovenia,2018,01,2.8
4471884,Restaurants and hotels,Slovakia,2018,01,2.7
4472101,Accommodation services,Albania,2018,01,0.4
4472102,Accommodation services,Austria,2018,01,2.0
4472103,Accommodation services,Belgium,2018,01,9.2
4472104,Accommodation services,Bulgaria,2018,01,0.6
4472105,Accommodation services,Switzerland,2018,01,0.6
4472106,Accommodation services,Cyprus,2018,01,1.4
4472108,Accommodation services,Germany,2018,01,2.4
4472109,Accommodation services,Denmark,2018,01,3.0
4472113,Accommodation services,Estonia,2018,01,1.9
4472115,Accommodation services,Greece,2018,01,5.7
4472116,Accommodation services,Spain,2018,01,4.4
4472120,Accommodation services,Finland,2018,01,3.6
4472121,Accommodation services,France,2018,01,5.0
4472122,Accommodation services,Croatia,2018,01,2.0
4472123,Accommodation services,Hungary,2018,01,3.4
4472124,Accommodation services,Ireland,2018,01,2.4
4472125,Accommodation services,Iceland,2018,01,3.6
4472126,Accommodation services,Italy,2018,01,0.6
4472127,Accommodation services,Lithuania,2018,01,1.1
4472128,Accommodation services,Luxembourg,2018,01,1.5
4472129,Accommodation services,Latvia,2018,01,0.7
4472130,Accommodation services,Montenegro,2018,01,11.7
4472131,Accommodation services,North Macedonia,2018,01,7.8
4472132,Accommodation services,Malta,2018,01,0.9
4472133,Accommodation services,Netherlands,2018,01,6.7
4472134,Accommodation services,Norway,2018,01,0.2
4472135,Accommodation services,Poland,2018,01,2.4
4472136,Accommodation services,Portugal,2018,01,4.3
4472137,Accommodation services,Romania,2018,01,2.5
4472138,Accommodation services,Serbia,2018,01,0.4
4472139,Accommodation services,Sweden,2018,01,5.0
4472140,Accommodation services,Slovenia,2018,01,4.4
4472141,Accommodation services,Slovakia,2018,01,2.1
4475768,All-items HICP,Albania,2018,02,1.6 d
4475769,All-items HICP,Austria,2018,02,1.9
4475770,All-items HICP,Belgium,2018,02,1.5
4475771,All-items HICP,Bulgaria,2018,02,1.5
4475772,All-items HICP,Switzerland,2018,02,0.5
4475773,All-items HICP,Cyprus,2018,02,-0.4
4475775,All-items HICP,Germany,2018,02,1.2
4475776,All-items HICP,Denmark,2018,02,0.5
4475780,All-items HICP,Estonia,2018,02,3.2
4475782,All-items HICP,Greece,2018,02,0.4
4475783,All-items HICP,Spain,2018,02,1.2
4475787,All-items HICP,Finland,2018,02,0.6
4475788,All-items HICP,France,2018,02,1.3
4475789,All-items HICP,Croatia,2018,02,0.9
4475790,All-items HICP,Hungary,2018,02,1.9
4475791,All-items HICP,Ireland,2018,02,0.7
4475792,All-items HICP,Iceland,2018,02,-1.0
4475793,All-items HICP,Italy,2018,02,0.5
4475794,All-items HICP,Lithuania,2018,02,3.2
4475795,All-items HICP,Luxembourg,2018,02,1.1
4475796,All-items HICP,Latvia,2018,02,1.8
4475797,All-items HICP,Montenegro,2018,02,3.4 d
4475798,All-items HICP,North Macedonia,2018,02,3.0 d
4475799,All-items HICP,Malta,2018,02,1.3
4475800,All-items HICP,Netherlands,2018,02,1.3
4475801,All-items HICP,Norway,2018,02,2.3
4475802,All-items HICP,Poland,2018,02,0.7
4475803,All-items HICP,Portugal,2018,02,0.7
4475804,All-items HICP,Romania,2018,02,3.8
4475805,All-items HICP,Serbia,2018,02,1.6 d
4475806,All-items HICP,Sweden,2018,02,1.6
4475807,All-items HICP,Slovenia,2018,02,1.4
4475808,All-items HICP,Slovakia,2018,02,2.2
4475813,Food and non-alcoholic beverages,Albania,2018,02,3.0 d
4475814,Food and non-alcoholic beverages,Austria,2018,02,1.1
4475815,Food and non-alcoholic beverages,Belgium,2018,02,1.4
4475816,Food and non-alcoholic beverages,Bulgaria,2018,02,0.7
4475817,Food and non-alcoholic beverages,Switzerland,2018,02,-0.3
4475818,Food and non-alcoholic beverages,Cyprus,2018,02,-3.2
4475820,Food and non-alcoholic beverages,Germany,2018,02,1.0
4475821,Food and non-alcoholic beverages,Denmark,2018,02,0.9
4475825,Food and non-alcoholic beverages,Estonia,2018,02,5.0
4475827,Food and non-alcoholic beverages,Greece,2018,02,-0.9
4475828,Food and non-alcoholic beverages,Spain,2018,02,0.9
4475832,Food and non-alcoholic beverages,Finland,2018,02,1.3
4475833,Food and non-alcoholic beverages,France,2018,02,0.8
4475834,Food and non-alcoholic beverages,Croatia,2018,02,0.3
4475835,Food and non-alcoholic beverages,Hungary,2018,02,3.8
4475836,Food and non-alcoholic beverages,Ireland,2018,02,-1.8
4475837,Food and non-alcoholic beverages,Iceland,2018,02,-0.3
4475838,Food and non-alcoholic beverages,Italy,2018,02,-0.9
4475839,Food and non-alcoholic beverages,Lithuania,2018,02,1.6
4475840,Food and non-alcoholic beverages,Luxembourg,2018,02,1.5
4475841,Food and non-alcoholic beverages,Latvia,2018,02,1.4
4475842,Food and non-alcoholic beverages,Montenegro,2018,02,-0.8 d
4475843,Food and non-alcoholic beverages,North Macedonia,2018,02,3.5 d
4475844,Food and non-alcoholic beverages,Malta,2018,02,0.7
4475845,Food and non-alcoholic beverages,Netherlands,2018,02,1.7
4475846,Food and non-alcoholic beverages,Norway,2018,02,3.0
4475847,Food and non-alcoholic beverages,Poland,2018,02,2.7
4475848,Food and non-alcoholic beverages,Portugal,2018,02,0.4
4475849,Food and non-alcoholic beverages,Romania,2018,02,3.6
4475850,Food and non-alcoholic beverages,Serbia,2018,02,1.4 d
4475851,Food and non-alcoholic beverages,Sweden,2018,02,2.0
4475852,Food and non-alcoholic beverages,Slovenia,2018,02,2.0
4475853,Food and non-alcoholic beverages,Slovakia,2018,02,4.6
4478855,"Alcoholic beverages, tobacco and narcotics",Albania,2018,02,1.4 d
4478856,"Alcoholic beverages, tobacco and narcotics",Austria,2018,02,4.6
4478857,"Alcoholic beverages, tobacco and narcotics",Belgium,2018,02,4.8
4478858,"Alcoholic beverages, tobacco and narcotics",Bulgaria,2018,02,2.8
4478859,"Alcoholic beverages, tobacco and narcotics",Switzerland,2018,02,0.4
4478860,"Alcoholic beverages, tobacco and narcotics",Cyprus,2018,02,-1.4
4478862,"Alcoholic beverages, tobacco and narcotics",Germany,2018,02,3.1
4478863,"Alcoholic beverages, tobacco and narcotics",Denmark,2018,02,1.6
4478867,"Alcoholic beverages, tobacco and narcotics",Estonia,2018,02,10.6
4478869,"Alcoholic beverages, tobacco and narcotics",Greece,2018,02,7.1
4478870,"Alcoholic beverages, tobacco and narcotics",Spain,2018,02,1.4
4478874,"Alcoholic beverages, tobacco and narcotics",Finland,2018,02,6.0
4478875,"Alcoholic beverages, tobacco and narcotics",France,2018,02,2.8
4478876,"Alcoholic beverages, tobacco and narcotics",Croatia,2018,02,2.0
4478877,"Alcoholic beverages, tobacco and narcotics",Hungary,2018,02,7.0
4478878,"Alcoholic beverages, tobacco and narcotics",Ireland,2018,02,3.0
4478879,"Alcoholic beverages, tobacco and narcotics",Iceland,2018,02,1.9
4478880,"Alcoholic beverages, tobacco and narcotics",Italy,2018,02,1.0
4478881,"Alcoholic beverages, tobacco and narcotics",Lithuania,2018,02,11.5
4478882,"Alcoholic beverages, tobacco and narcotics",Luxembourg,2018,02,1.9
4478883,"Alcoholic beverages, tobacco and narcotics",Latvia,2018,02,0.3
4478884,"Alcoholic beverages, tobacco and narcotics",Montenegro,2018,02,25.2 d
4478885,"Alcoholic beverages, tobacco and narcotics",North Macedonia,2018,02,6.2 d
4478886,"Alcoholic beverages, tobacco and narcotics",Malta,2018,02,1.2
4478887,"Alcoholic beverages, tobacco and narcotics",Netherlands,2018,02,1.9
4478888,"Alcoholic beverages, tobacco and narcotics",Norway,2018,02,1.6
4478889,"Alcoholic beverages, tobacco and narcotics",Poland,2018,02,1.2
4478890,"Alcoholic beverages, tobacco and narcotics",Portugal,2018,02,0.7
4478891,"Alcoholic beverages, tobacco and narcotics",Romania,2018,02,4.3
